Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,9.30,9.34,9.10,9.31,4343400,8.722317
2013-03-01,8.85,9.41,8.50,9.31,1985500,8.722317
2013-02-01,9.19,9.26,8.63,8.94,1945400,8.297265
2013-01-02,9.09,9.58,9.05,9.12,2291100,8.464325
2012-12-03,8.80,9.29,8.58,9.00,1487500,8.352952
2012-11-01,8.45,8.87,8.11,8.74,2671300,8.0408
2012-10-01,9.68,9.95,8.17,8.48,2378100,7.8016
2012-09-04,9.64,10.60,9.46,9.63,1655500,8.8596
2012-08-01,9.55,9.96,9.25,9.62,1080800,8.776876
2012-07-02,10.27,10.56,9.14,9.46,2087600,8.630899
2012-06-01,9.64,10.53,9.21,10.20,1547100,9.306044
2012-05-01,10.74,11.01,9.58,9.94,1391500,9.06883
2012-04-02,10.23,10.79,9.66,10.63,1616100,9.625506
2012-03-01,9.79,10.32,9.48,10.29,1805200,9.317635
2012-02-01,10.62,11.01,9.91,9.96,1465600,8.947027
2012-01-03,9.96,10.95,9.54,10.54,1233100,9.468039
2011-12-01,8.76,10.19,8.56,9.64,1173400,8.659573
2011-11-01,8.66,9.33,7.87,8.78,1457200,7.823496
2011-10-03,6.96,9.63,6.30,9.05,1871800,8.064083
2011-09-01,7.67,7.94,6.40,6.99,1811200,6.228501
2011-08-01,10.37,10.39,7.00,7.74,2722200,6.820057
2011-07-01,10.74,11.50,9.34,10.22,1571500,9.005296
2011-06-01,11.45,11.53,9.61,10.73,1364700,9.454679
2011-05-02,12.13,12.15,10.56,11.50,1620100,10.053136
2011-04-01,11.24,12.16,10.36,12.04,1486000,10.525196
2011-03-01,11.95,11.95,10.37,11.17,1525400,9.764655
2011-02-01,12.20,12.63,11.25,11.76,1147600,10.206331
2011-01-03,12.10,12.58,11.72,12.13,1733500,10.527449
2010-12-01,10.75,12.12,10.61,12.00,859800,10.414623
2010-11-01,10.67,11.10,9.41,10.53,1146700,9.138832
2010-10-01,9.56,11.06,9.24,10.58,1420700,9.182226
2010-09-01,8.96,10.23,8.88,9.49,1591700,8.236231
2010-08-02,9.47,10.15,8.52,8.76,1949800,7.602675
2010-07-01,8.33,9.83,7.76,9.28,2694900,8.053975
2010-06-01,9.01,9.46,8.00,8.22,2819100,7.134017
2010-05-03,11.07,11.47,8.00,9.14,3066700,7.932472
2010-04-01,10.17,11.77,9.94,10.99,1771300,9.538059
2010-03-01,8.59,10.27,8.14,10.11,1401600,8.77432
2010-02-01,8.22,9.12,7.61,8.94,1662400,7.758894
2010-01-04,8.60,9.88,8.07,8.14,2043300,7.064587
2009-12-01,8.22,8.89,7.83,8.47,1395700,7.350989
2009-11-02,7.62,8.96,7.21,8.04,1519100,6.952073
2009-10-01,8.12,9.10,7.43,7.61,2208200,6.580258
2009-09-01,6.83,8.49,6.11,8.10,1799600,7.003954
2009-08-03,6.90,7.89,6.43,6.85,1710400,5.923097
2009-07-01,6.35,7.47,5.11,6.76,1700600,5.845275
2009-06-01,6.74,7.93,5.65,6.26,1528900,5.412933
2009-05-01,6.53,7.36,5.53,6.50,2204300,5.620457
2009-04-01,3.81,7.05,3.49,6.49,4060200,5.61181
2009-03-02,3.01,4.67,2.61,4.01,2233700,3.46739
2009-02-02,4.01,4.26,2.85,3.09,2136900,2.671879
2009-01-02,5.08,5.64,3.92,4.10,2078400,3.545211
2008-12-01,3.57,6.79,2.85,5.07,2780100,4.383957
2008-11-03,5.15,5.68,2.30,3.72,2304400,3.216631
2008-10-01,8.96,9.15,3.37,5.18,2605100,4.479072
2008-09-02,9.45,10.69,8.16,9.10,1750800,7.86864
2008-08-01,9.30,10.19,8.73,9.21,1290800,7.751954
2008-07-01,10.79,11.03,8.40,9.22,1600900,7.760371
2008-06-02,13.72,13.75,10.73,10.89,1023900,9.165991
2008-05-01,12.81,14.65,12.61,13.71,1073200,11.299944
2008-04-01,12.86,14.00,12.35,12.75,1020000,10.508701
2008-03-03,12.45,13.49,11.50,12.67,1272800,10.442764
2008-02-01,13.18,13.83,12.47,12.49,1005100,10.090152
2008-01-02,15.01,15.33,12.77,13.15,1097000,10.623338
2007-12-03,17.41,17.969999,14.50,14.98,1016300,12.101719
2007-11-01,18.85,18.92,16.24,17.32,1333100,13.789446
2007-10-01,17.440001,19.18,17.33,19.16,765200,15.254376
2007-09-04,17.93,18.82,16.629999,17.41,621500,13.8611
2007-08-01,16.790001,18.17,15.30,17.950001,1056800,14.100478
2007-07-02,19.459999,22.00,16.17,16.84,1414900,13.228526
2007-06-01,20.700001,21.10,17.969999,19.08,1149300,14.98814
2007-05-01,18.93,21.42,18.09,20.940001,903200,16.232098
2007-04-02,19.00,19.709999,18.23,18.290001,549700,14.177892
2007-03-01,17.719999,19.00,16.90,19.00,868700,14.728264
2007-02-01,18.870001,19.50,14.76,18.09,662500,13.839951
2007-01-03,18.09,19.00,17.690001,18.85,1049200,14.421397
2006-12-01,17.67,18.24,17.00,18.01,498600,13.778746
2006-11-01,16.969999,17.870001,16.040001,17.700001,411300,13.401088
2006-10-02,16.52,17.280001,16.16,16.870001,397800,12.772676
2006-09-01,16.860001,17.75,16.10,16.610001,487700,12.575823
2006-08-01,15.97,17.09,15.64,16.799999,256400,12.583798
2006-07-03,14.95,16.309999,14.65,16.07,387200,12.037003
2006-06-01,15.15,16.00,13.75,14.81,526400,11.093219
2006-05-01,14.40,15.56,13.91,15.17,320100,11.226606
2006-04-03,13.75,14.78,13.38,14.31,348700,10.590161
2006-03-01,12.88,13.81,12.26,13.81,363400,10.220135
2006-02-01,12.90,12.96,12.29,12.83,120000,9.361984
2006-01-03,12.00,13.05,11.68,13.00,163100,9.486032
2005-12-01,12.04,12.14,11.37,11.96,230300,8.72715
2005-11-01,11.10,12.17,10.67,12.00,374200,8.629147
2005-10-03,11.85,11.99,10.75,11.15,169800,8.017915
2005-09-01,11.95,12.00,11.05,11.75,129000,8.449372
2005-08-01,12.10,12.75,11.64,11.94,102800,8.461178
2005-07-01,11.30,12.15,11.00,12.01,230800,8.510783
2005-06-01,11.20,11.75,11.00,11.30,273000,8.007648
2005-05-26,10.54,11.70,10.54,11.20,2679000,7.914398
