Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,9.04,9.12,9.03,9.06,266400,7.740788
2013-03-01,9.39,9.46,8.53,9.04,137000,7.723699
2013-02-01,9.46,9.56,9.25,9.39,73200,7.981813
2013-01-02,9.46,9.86,9.37,9.45,78900,7.99244
2012-12-03,9.85,9.85,9.20,9.36,165600,7.877784
2012-11-01,9.52,9.82,9.06,9.79,119100,8.199126
2012-10-01,9.88,9.90,9.44,9.53,81500,7.941259
2012-09-04,9.50,9.89,9.41,9.88,103100,8.19238
2012-08-01,9.45,9.50,9.19,9.49,109200,7.829446
2012-07-02,9.32,9.51,9.09,9.41,93900,7.724011
2012-06-01,9.00,9.32,8.79,9.28,87400,7.57824
2012-05-01,8.87,9.16,8.84,9.10,90700,7.39277
2012-04-02,8.70,8.88,8.67,8.85,82400,7.151198
2012-03-01,8.94,8.99,8.15,8.69,197000,6.983826
2012-02-01,9.05,9.17,8.55,8.91,117900,7.121618
2012-01-03,8.72,9.00,8.57,8.98,92700,7.138857
2011-12-01,8.41,8.77,8.28,8.69,98600,6.870418
2011-11-01,8.09,8.45,8.09,8.39,82600,6.595952
2011-10-03,8.58,8.67,7.83,8.17,128100,6.38616
2011-09-01,8.26,8.56,8.03,8.56,95700,6.653
2011-08-01,7.86,8.36,7.32,8.27,101700,6.390613
2011-07-01,8.02,8.17,7.75,7.80,85000,5.989254
2011-06-01,7.86,8.19,7.74,8.00,69300,6.106196
2011-05-02,7.53,7.98,7.41,7.85,94700,5.955754
2011-04-01,7.74,7.82,7.39,7.51,66300,5.662555
2011-03-01,7.49,7.84,7.49,7.72,88300,5.784034
2011-02-01,7.60,7.75,7.34,7.48,88500,5.569688
2011-01-03,7.53,7.74,6.97,7.56,150400,5.594391
2010-12-01,7.93,7.94,7.06,7.58,187000,5.572955
2010-11-01,8.26,8.31,7.11,7.94,155400,5.800909
2010-10-01,8.68,8.83,8.16,8.25,76200,5.99244
2010-09-01,8.50,8.75,8.36,8.72,77400,6.30053
2010-08-02,8.35,8.55,8.22,8.45,72700,6.073535
2010-07-01,8.18,8.38,8.07,8.38,74900,5.991221
2010-06-01,8.01,8.19,7.95,8.19,73100,5.823521
2010-05-03,8.23,8.25,7.27,8.05,100300,5.692291
2010-04-01,8.16,8.24,7.92,8.19,74700,5.758914
2010-03-01,8.03,8.20,7.83,8.20,77800,5.733793
2010-02-01,7.93,8.15,7.75,8.08,103400,5.618064
2010-01-04,7.70,8.02,7.65,7.98,91900,5.516604
2009-12-01,7.57,7.84,7.50,7.69,88000,5.285806
2009-11-02,7.32,7.69,7.30,7.58,92700,5.179265
2009-10-01,7.77,7.95,7.05,7.33,111300,4.982297
2009-09-01,7.50,7.93,7.31,7.72,99900,5.220243
2009-08-03,7.04,7.47,6.58,7.44,97700,5.005023
2009-07-01,6.70,7.10,6.60,7.09,67900,4.743262
2009-06-01,6.97,6.99,6.56,6.70,67000,4.456257
2009-05-01,6.61,7.12,6.55,6.96,69000,4.60248
2009-04-01,6.32,6.70,6.11,6.62,57900,4.352278
2009-03-02,6.03,6.72,5.73,6.34,77300,4.142594
2009-02-02,6.40,6.62,5.53,6.18,92400,4.010943
2009-01-02,5.52,6.49,5.52,6.40,72500,4.128336
2008-12-01,5.53,5.84,4.81,5.56,124100,3.564041
2008-11-03,5.72,6.39,5.18,5.50,90800,3.498725
2008-10-01,6.41,6.80,4.09,5.80,126200,3.66534
2008-09-02,7.61,7.62,5.70,6.46,84400,4.053999
2008-08-01,7.46,7.64,7.43,7.60,46100,4.744477
2008-07-01,7.58,7.68,7.30,7.45,75100,4.626875
2008-06-02,7.91,7.98,7.41,7.56,123900,4.671318
2008-05-01,7.95,8.14,7.86,7.93,57200,4.875503
2008-04-01,7.91,8.01,7.80,7.95,52300,4.864236
2008-03-03,7.76,8.23,7.59,7.87,72700,4.791517
2008-02-01,8.57,8.75,7.70,7.74,94800,4.689395
2008-01-02,7.87,8.58,7.82,8.55,94600,5.155277
2007-12-03,7.85,8.04,7.70,7.83,163600,4.69791
2007-11-01,8.13,8.16,7.26,7.77,103600,4.637869
2007-10-01,8.37,8.49,7.79,8.07,106400,4.792189
2007-09-04,8.58,8.93,8.19,8.38,48100,4.951454
2007-08-01,8.72,8.72,7.44,8.54,87700,5.022642
2007-07-02,8.83,8.97,8.35,8.67,54300,5.074475
2007-06-01,9.12,9.15,8.48,8.90,83500,5.184959
