Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,25.35,25.36,25.30,25.31,96200,22.28904
2013-03-01,25.38,25.51,25.27,25.30,38500,22.28024
2013-02-01,25.36,25.50,25.23,25.39,50700,22.3595
2013-01-02,25.15,25.40,24.97,25.36,70200,22.33308
2012-12-03,24.97,25.15,24.92,25.05,63100,21.71387
2012-11-01,24.86,25.25,24.65,24.97,71600,21.64452
2012-10-01,24.90,25.37,24.82,24.85,102400,21.5405
2012-09-04,24.67,25.13,24.67,25.05,76000,21.37228
2012-08-01,24.71,24.97,24.51,24.69,89100,21.06514
2012-07-02,24.11,24.85,24.10,24.59,154400,20.97982
2012-06-01,21.63,24.22,21.63,24.14,118100,20.26455
2012-05-01,23.60,23.80,20.92,22.41,97700,18.81229
2012-04-02,23.84,24.07,22.93,23.58,86900,19.79445
2012-03-01,23.37,23.98,22.50,23.88,173300,19.70808
2012-02-01,21.34,23.55,21.31,23.31,130700,19.23766
2012-01-03,18.51,21.50,18.51,21.30,135600,17.57881
2011-12-01,19.30,19.92,17.65,18.32,208000,14.8322
2011-11-01,20.26,21.24,18.30,19.38,94500,15.69039
2011-10-03,20.95,21.75,18.81,20.83,191000,16.86434
2011-09-01,22.52,22.57,19.83,21.04,66700,16.71696
2011-08-01,23.00,23.15,17.65,22.46,116600,17.84519
2011-07-01,23.98,24.33,22.32,22.92,82800,18.21068
2011-06-01,24.50,24.54,23.13,24.05,64700,18.78936
2011-05-02,24.35,24.79,24.25,24.50,59800,19.14092
2011-04-01,24.00,24.69,23.75,24.31,79600,18.99249
2011-03-01,23.34,24.05,23.21,23.98,59100,18.4287
2011-02-01,22.24,23.38,22.10,23.27,64000,17.88307
2011-01-03,22.62,22.91,21.84,22.20,109800,17.06077
2010-12-01,23.47,23.47,22.00,22.45,71700,16.95159
2010-11-01,23.93,24.05,22.71,23.21,99900,17.52545
2010-10-01,24.17,24.40,23.72,23.91,198500,18.05401
2010-09-01,23.54,24.44,23.40,24.15,196600,17.93644
2010-08-02,21.63,23.65,21.61,23.47,233400,17.4314
2010-07-01,20.71,21.80,20.45,21.53,120100,15.99054
2010-06-01,19.79,20.88,19.45,20.86,80400,15.20851
2010-05-03,22.65,22.67,17.30,20.05,148500,14.61796
2010-04-01,23.42,23.68,22.51,22.60,49600,16.4771
2010-03-01,23.28,23.90,23.02,23.39,78100,16.76487
2010-02-01,23.10,23.56,22.45,23.29,75200,16.69319
2010-01-04,22.70,23.87,22.66,23.05,57800,16.52117
2009-12-01,20.92,22.79,20.77,22.58,39900,15.90973
2009-11-02,21.41,21.50,20.06,20.79,47800,14.64851
2009-10-01,22.60,23.27,21.35,21.41,75600,15.08535
2009-09-01,19.85,24.36,19.25,22.80,104500,15.78639
2009-08-03,20.33,21.81,19.49,19.99,57200,13.84078
2009-07-01,18.23,20.41,18.00,20.26,54900,14.02773
2009-06-01,16.93,18.38,15.90,18.38,58500,12.46442
2009-05-01,13.32,17.50,13.25,16.86,59700,11.43363
2009-04-01,11.64,13.99,11.14,13.31,59800,9.0262
2009-03-02,8.30,12.24,4.98,11.84,90700,7.79295
2009-02-02,13.75,13.75,6.26,8.80,86600,5.79206
2009-01-02,16.94,18.80,10.17,14.00,107800,9.21463
2008-12-01,13.89,17.18,12.35,17.06,95100,10.9826
2008-11-03,15.90,17.44,10.32,14.36,78800,9.24444
2008-10-01,14.40,18.00,9.00,15.99,171000,10.29377
2008-09-02,20.74,21.39,12.42,14.70,178000,9.22032
2008-08-01,20.22,20.89,19.13,20.76,27300,13.02135
2008-07-01,22.00,22.00,13.28,20.29,49200,12.72655
2008-06-02,23.11,23.17,20.29,20.63,36300,12.63864
2008-05-01,22.75,23.50,22.50,23.11,42600,14.15798
2008-04-01,23.19,24.00,22.70,22.80,41500,13.96806
2008-03-03,24.30,24.30,22.30,23.10,51200,13.90918
2008-02-01,24.20,24.50,22.82,23.97,83400,14.43303
2008-01-02,21.45,24.24,21.32,24.04,83900,14.47518
2007-12-03,21.20,22.80,20.21,21.21,152700,12.55187
2007-11-01,23.39,23.40,20.25,21.36,102200,12.64064
2007-10-01,22.85,24.14,22.85,23.31,58300,13.79463
2007-09-04,24.00,24.01,22.36,22.95,70700,13.35312
2007-08-01,23.80,24.15,22.01,23.93,39700,13.92332
2007-07-02,24.67,24.80,23.06,23.91,115100,13.91168
2007-06-01,25.10,25.30,24.02,24.69,92200,14.13062
2007-05-01,25.68,25.80,24.59,25.10,196200,14.36527
2007-04-02,26.10,26.43,25.50,25.60,50000,14.65143
2007-03-01,25.80,26.10,25.32,25.90,66600,14.59838
2007-02-01,25.50,26.25,25.15,25.80,45100,14.54201
2007-01-03,25.85,26.15,25.40,25.54,70600,14.39547
2006-12-01,25.71,25.95,25.48,25.87,120100,14.35826
2006-11-01,25.40,25.73,25.23,25.70,318600,14.26391
