Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,56.189999,56.27,55.029999,55.52,6929200,53.683674
2013-03-01,53.869999,58.529999,53.18,56.419998,3318000,54.553905
2013-02-01,58.220001,61.799999,52.689999,54.259998,4925100,52.277496
2013-01-02,53.060001,58.400002,51.630001,57.189999,3610600,55.100445
2012-12-03,52.00,54.380001,50.889999,52.040001,3701200,50.138611
2012-11-01,58.209999,59.709999,51.490002,51.669998,4161100,49.592342
2012-10-01,61.16,63.00,57.919998,58.209999,2438500,55.869366
2012-09-04,57.75,63.950001,56.82,60.50,3190400,58.067287
2012-08-01,58.169998,61.709999,55.049999,57.830002,3286900,55.321526
2012-07-02,57.389999,59.619999,54.560001,59.119999,3443600,56.555565
2012-06-01,58.439999,61.419998,54.009998,57.990002,4582900,55.474583
2012-05-01,70.080002,71.080002,58.630001,59.52,4564700,56.740341
2012-04-02,70.940002,73.139999,63.970001,69.849998,3952400,66.587914
2012-03-01,73.349998,76.339996,69.349998,71.120003,3455300,67.798607
2012-02-01,64.440002,76.260002,62.810001,73.309998,4677900,69.689774
2012-01-03,64.860001,66.910004,62.130001,63.810001,3344200,60.658909
2011-12-01,65.309998,67.889999,58.849998,62.00,3146900,58.93829
2011-11-01,62.040001,69.550003,58.560001,65.459999,3701800,62.062725
2011-10-03,54.869999,68.25,50.740002,64.949997,4239400,61.579189
2011-09-01,68.389999,68.510002,55.139999,55.439999,4512100,52.562748
2011-08-01,80.139999,80.25,61.18,67.830002,4760300,64.138321
2011-07-01,78.860001,84.519997,77.489998,78.699997,3065500,74.41671
2011-06-01,83.82,84.279999,75.50,78.809998,3209900,74.520721
2011-05-02,91.389999,91.610001,80.459999,84.07,3454300,79.324516
2011-04-01,92.290001,92.690002,85.139999,91.00,2710000,85.863342
2011-03-01,91.82,93.559998,84.370003,91.769997,3293700,86.589874
2011-02-01,88.589996,91.50,85.300003,91.440002,3487900,86.118141
2011-01-03,79.129997,89.379997,76.959999,88.690002,3589700,83.528191
2010-12-01,71.68,78.860001,71.239998,78.510002,2663200,73.940674
2010-11-01,65.699997,73.25,65.029999,70.57,4550600,66.317688
2010-10-01,65.32,69.110001,63.759998,65.019997,2894900,61.102112
2010-09-01,61.02,65.50,60.830002,64.739998,3285800,60.838985
2010-08-02,63.790001,66.209999,59.07,60.279999,3939100,56.502781
2010-07-01,60.919998,64.980003,59.50,62.490002,3858100,58.574303
2010-06-01,63.25,70.800003,60.549999,60.919998,5668300,57.102676
2010-05-03,67.949997,70.660004,58.580002,63.849998,5899400,59.707905
2010-04-01,65.099998,70.129997,64.07,67.330002,4357700,62.962151
2010-03-01,69.360001,73.610001,62.380001,64.43,6213600,60.250278
2010-02-01,67.699997,71.980003,64.660004,68.860001,3837300,64.249504
2010-01-04,75.309998,76.790001,66.459999,66.910004,3415300,62.430065
2009-12-01,68.099998,75.050003,62.66,73.50,3978500,68.578835
2009-11-02,65.529999,72.239998,63.580002,67.349998,4621800,62.683598
2009-10-01,67.120003,73.120003,62.599998,64.709999,4398500,60.226513
2009-09-01,61.27,72.910004,59.599998,67.330002,4697400,62.664989
2009-08-03,59.349998,65.440002,59.110001,61.380001,4631500,56.987541
2009-07-01,55.310001,58.830002,48.740002,58.09,4782300,53.93298
2009-06-01,64.559998,67.400002,53.52,54.50,5847500,50.599884
2009-05-01,52.080002,65.089996,51.75,63.240002,6537300,58.567074
2009-04-01,43.830002,53.630001,43.349998,51.849998,5551100,48.018703
2009-03-02,42.560001,52.07,38.549999,44.689999,8232100,41.387768
2009-02-02,60.900002,62.220001,43.299999,43.669998,8174000,40.290161
2009-01-02,65.940002,73.110001,54.52,61.599998,6494500,56.83247
2008-12-01,70.089996,75.300003,57.07,65.709999,5786100,60.624374
2008-11-03,79.800003,83.769997,58.950001,72.339996,6624600,66.594078
