Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,37.77,37.77,37.18,37.25,1257400,35.589325
2013-03-01,33.189999,37.950001,33.029999,37.650002,1208400,35.971497
2013-02-01,32.950001,34.869999,30.889999,33.380001,2119500,31.71055
2013-01-02,31.530001,33.919998,30.85,32.740002,1867000,31.10256
2012-12-03,30.17,31.969999,28.440001,30.99,1321100,29.440083
2012-11-01,31.15,31.91,28.110001,29.950001,1307100,28.258875
2012-10-01,35.32,35.34,29.360001,30.799999,1760000,29.060879
2012-09-04,34.50,36.240002,34.049999,35.299999,897700,33.306786
2012-08-01,32.619999,35.18,31.25,34.459999,1106400,32.328316
2012-07-02,31.860001,33.98,30.889999,32.41,1166300,30.405128
2012-06-01,31.76,32.889999,30.049999,31.870001,1596100,29.898533
2012-05-01,31.809999,32.959999,29.950001,32.310001,1766200,30.157499
2012-04-02,27.50,32.00,26.50,31.469999,2001800,29.373459
2012-03-01,27.790001,29.309999,26.889999,27.549999,1288500,25.714611
2012-02-01,26.23,28.60,25.77,27.59,1599400,25.59968
2012-01-03,27.190001,27.969999,24.92,25.85,1891400,23.985203
2011-12-01,23.93,27.35,23.059999,26.76,1689100,24.829556
2011-11-01,22.23,24.08,21.83,24.08,1457600,22.192558
2011-10-03,20.860001,24.50,19.65,22.90,2036200,21.105049
2011-09-01,22.60,23.450001,19.50,20.92,2467100,19.280247
2011-08-01,24.280001,24.540001,20.25,22.58,2782600,20.652777
2011-07-01,24.66,26.799999,23.42,24.02,1508600,21.969872
2011-06-01,25.540001,25.59,23.030001,24.459999,1214400,22.372314
2011-05-02,24.190001,26.110001,23.190001,25.780001,1577200,23.441587
2011-04-01,25.370001,25.84,23.17,24.09,2098100,21.904881
2011-03-01,23.709999,25.719999,22.889999,25.299999,1539700,23.005125
2011-02-01,23.790001,24.84,22.120001,23.639999,1871400,21.376656
2011-01-03,21.25,24.41,20.59,23.530001,2815400,21.277189
2010-12-01,20.799999,22.559999,20.139999,20.879999,1514900,18.880903
2010-11-01,18.60,20.540001,18.120001,20.440001,1989000,18.366209
2010-10-01,18.889999,20.540001,17.959999,18.540001,2225100,16.658979
2010-09-01,16.02,19.040001,15.99,18.860001,2147900,16.946512
2010-08-02,15.92,16.77,14.76,15.75,1961900,14.041172
2010-07-01,14.56,16.60,13.96,15.72,1683300,14.014427
2010-06-01,17.690001,17.950001,14.29,14.46,2014600,12.891133
2010-05-03,18.65,19.27,16.74,17.780001,1744800,15.719147
2010-04-01,19.42,21.120001,18.52,18.52,2133500,16.373373
2010-03-01,18.129999,20.860001,17.74,19.280001,1968900,17.045284
2010-02-01,16.370001,18.41,16.059999,18.110001,1531900,15.919973
2010-01-04,14.41,17.610001,14.20,16.32,2953200,14.346436
2009-12-01,13.77,15.55,13.33,14.92,1727200,13.115737
2009-11-02,12.74,14.39,12.39,13.80,2366700,12.034479
2009-10-01,15.66,16.85,12.64,12.64,4208100,11.022885
2009-09-01,14.56,16.93,14.01,15.73,3276200,13.717562
2009-08-03,16.65,18.540001,13.64,14.56,3801100,12.607312
2009-07-01,17.299999,18.16,15.52,16.639999,2983600,14.408356
2009-06-01,18.27,18.85,15.38,17.030001,2103500,14.746053
2009-05-01,18.280001,18.629999,15.03,17.90,3162300,15.401219
2009-04-01,14.78,20.09,14.65,17.719999,4250000,15.246346
2009-03-02,10.70,15.78,9.65,15.10,2867400,12.992091
2009-02-02,10.79,12.55,10.30,11.00,2586900,9.36012
2009-01-02,10.53,12.22,7.95,10.97,2821500,9.334592
2008-12-01,6.39,11.22,5.77,10.54,2306900,8.968697
2008-11-03,9.19,9.77,3.88,6.64,3078500,5.544589
2008-10-01,17.66,17.950001,7.58,9.30,1908500,7.765764
2008-09-02,19.299999,21.620001,16.870001,17.889999,1961400,14.938658
2008-08-01,18.51,21.440001,17.139999,18.92,1765800,15.705954
2008-07-01,18.66,20.530001,16.09,18.389999,1927200,15.265986
2008-06-02,21.700001,22.08,18.110001,18.90,1594700,15.68935
2008-05-01,22.57,23.90,19.23,21.93,1531500,18.101988
2008-04-01,18.870001,23.50,17.540001,22.690001,1601000,18.729326
2008-03-03,18.41,20.15,16.24,18.549999,1437400,15.311986
2008-02-01,18.68,20.440001,17.49,18.440001,1339700,15.120264
2008-01-02,19.52,19.530001,14.65,18.58,2193500,15.23506
2007-12-03,22.860001,23.120001,18.92,19.559999,1784800,16.03863
2007-11-01,25.10,25.469999,22.530001,23.030001,2110500,18.793734
2007-10-01,27.33,28.41,24.83,25.389999,1325500,20.719622
2007-09-04,29.10,29.57,26.83,27.440001,1375700,22.392532
2007-08-01,26.84,30.35,25.690001,28.84,2162600,23.460768
2007-07-02,29.290001,30.360001,25.790001,26.940001,1865300,21.915155
2007-06-01,32.200001,33.59,28.51,29.27,1680000,23.810564
2007-05-01,31.01,34.330002,30.719999,31.959999,1599800,25.922506
2007-04-02,32.669998,33.790001,30.59,31.10,995400,25.224968
2007-03-01,33.68,34.220001,31.60,32.700001,1206800,26.522715
2007-02-01,31.58,35.740002,31.52,33.970001,1520100,27.478224
2007-01-03,29.66,32.299999,29.219999,31.549999,1390000,25.520693
2006-12-01,30.360001,31.120001,29.360001,30.16,1068100,24.396326
2006-11-01,46.68,47.880001,43.889999,45.469994,1571100,24.520355
2006-10-02,40.260002,48.029999,38.860004,46.429993,2260400,24.963921
2006-09-01,38.52,42.499996,38.380005,40.090004,1790700,21.555111
2006-08-01,32.34,38.880001,31.480003,38.470005,2107900,20.633417
2006-07-03,36.389999,36.599998,31.999996,32.400002,1410200,17.377766
2006-06-01,36.700005,37.000004,35.099998,36.300003,1458500,19.469534
2006-05-01,39.100006,39.229996,35.959995,36.700005,1352100,19.62892
2006-04-03,42.259995,42.810001,37.949997,39.160004,1327500,20.944647
2006-03-01,41.849998,43.159996,41.239994,42.250004,1021700,22.597326
2006-02-01,40.699993,42.589996,40.470001,41.650005,1456200,22.223362
2006-01-03,37.990005,41.500004,37.380001,40.699993,1356400,21.716461
2005-12-01,39.75,40.699993,36.439995,38.659996,1377400,20.627972
2005-11-01,37.949997,40.249996,37.210003,39.679993,947300,21.172216
2005-10-03,37.600006,42.250004,36.220005,38.119995,1328400,20.286966
2005-09-01,36.75,39.250004,35.800007,37.560001,1542700,19.988945
2005-08-01,40.849995,41.010002,36.889996,37.150005,1470900,19.77075
2005-07-01,39.979996,41.140007,39.139996,40.900005,666200,21.766453
2005-06-01,37.619999,42.400005,36.880005,40.050003,1449400,21.314091
2005-05-02,33.760006,38.050007,33.760006,37.619999,1001700,20.020876
2005-04-01,36.439995,36.989998,33.190006,33.799995,1212100,17.987919
2005-03-01,37.849995,39.439995,35.419998,36.220005,1226200,19.275816
2005-02-01,37.609993,38.980003,36.599998,37.860001,1323200,20.1486
2005-01-03,34.960003,38.449993,33.700005,37.609993,1953000,20.015551
2004-12-01,34.349998,35.320007,33.48,35.07,1044500,18.663797
2004-11-01,32.459999,35.369999,32.200005,34.129997,1127000,18.16354
2004-10-01,31.129995,32.980003,30.57,32.299995,1166000,17.189638
2004-09-01,30.469994,31.480003,29.749996,31.150005,1262900,16.577629
2004-08-02,35.569992,36.09,28.920002,30.449999,2760600,16.205093
2004-07-01,34.240005,36.679993,34.099995,35.809994,1625700,19.057613
2004-06-01,36.949993,37.219994,33.730003,34.120003,1698500,18.158224
2004-05-03,38.650005,39.060001,34.729996,36.959999,1324400,19.669632
2004-04-01,38.029995,39.550007,36.739994,38.459999,1009200,20.467913
