Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.20,6.34,6.18,6.25,1114600,4.535275
2013-03-01,6.06,6.58,5.28,6.26,254900,4.542531
2013-02-01,6.29,6.53,5.49,6.52,346400,4.731198
2013-01-02,5.19,6.70,4.58,6.32,365500,4.58607
2012-12-03,4.56,5.27,4.14,5.01,506000,3.635476
2012-11-01,7.97,8.31,3.44,4.76,684500,3.454065
2012-10-01,9.09,9.19,7.88,8.00,222900,5.805151
2012-09-04,9.08,9.61,8.52,9.03,650000,6.552565
2012-08-01,9.88,10.48,8.62,9.05,369500,6.567078
2012-07-02,9.65,9.94,9.06,9.65,316300,7.002464
2012-06-01,8.92,9.69,8.73,9.58,390300,6.951669
2012-05-01,11.90,12.03,8.25,8.98,593800,6.516282
2012-04-02,12.80,13.25,11.53,11.95,909000,7.945756
2012-03-01,15.40,15.47,12.81,12.86,500500,8.55083
2012-02-01,14.92,16.16,14.61,15.27,160600,10.15328
2012-01-03,14.50,15.19,14.10,14.64,310100,9.734383
2011-12-01,13.50,14.80,13.42,14.50,233600,9.641294
2011-11-01,13.59,14.82,12.17,13.40,261000,8.909885
2011-10-03,11.65,14.66,11.18,13.95,369500,9.275589
2011-09-01,13.40,13.76,11.51,11.69,568200,7.772877
2011-08-01,15.53,15.53,12.61,13.47,280300,8.956429
2011-07-01,17.129999,17.290001,14.81,15.34,269400,10.199824
2011-06-01,18.08,18.969999,16.290001,17.139999,482400,11.396674
2011-05-02,18.74,19.68,17.280001,18.280001,208500,11.449832
2011-04-01,19.40,20.17,18.549999,18.74,176600,11.737956
2011-03-01,18.17,19.40,17.59,19.34,233500,12.113771
2011-02-01,16.530001,18.08,16.33,18.08,319000,11.324559
2011-01-03,16.719999,17.48,15.92,16.459999,207900,10.302789
2010-12-01,15.80,16.799999,15.40,16.66,135000,10.427975
2010-11-01,16.49,17.25,14.95,15.72,127500,9.839602
2010-10-01,15.11,18.51,15.03,16.35,193100,10.233937
2010-09-01,14.81,15.33,14.40,14.96,306800,9.363896
2010-08-02,15.85,15.90,14.55,14.65,135900,9.169858
2010-07-01,15.83,15.91,14.44,15.65,197600,9.795787
2010-06-01,14.37,16.870001,14.05,15.83,157800,9.908454
2010-05-03,16.91,16.959999,13.09,14.62,354400,9.15108
2010-04-01,18.309999,18.860001,17.190001,17.59,198100,10.428601
2010-03-01,16.43,19.139999,16.360001,18.10,177600,10.730966
2010-02-01,18.200001,18.549999,15.10,16.15,212700,9.574866
2010-01-04,19.040001,20.27,17.18,18.23,502500,10.748752
2009-12-01,15.25,19.719999,15.23,18.700001,299500,11.025873
2009-11-02,12.73,15.35,12.29,15.12,300000,8.915037
2009-10-01,13.87,14.92,12.48,12.73,210700,7.505848
2009-09-01,13.01,14.25,12.66,13.88,255500,8.183909
2009-08-03,14.06,14.79,12.70,12.92,237200,7.617876
2009-07-01,13.32,13.92,12.36,13.77,139300,8.119052
