Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,11.78,12.23,11.72,12.04,381600,8.457167
2013-03-01,17.66,17.809999,9.06,11.67,375900,8.19727
2013-02-01,18.879999,19.17,17.219999,17.549999,183500,12.327515
2013-01-02,15.91,18.889999,15.25,18.75,104500,12.696426
2012-12-03,17.26,17.41,14.87,15.27,127900,10.33997
2012-11-01,20.219999,20.959999,15.41,17.16,113800,11.619769
2012-10-01,19.33,21.450001,19.26,20.35,62300,13.268032
2012-09-04,19.950001,21.43,19.059999,19.389999,75100,12.642119
2012-08-01,20.99,22.34,19.10,19.780001,74300,12.896397
2012-07-02,18.50,21.24,18.25,21.00,59200,13.319032
2012-06-01,16.00,18.780001,15.68,18.43,89200,11.689036
2012-05-01,20.42,21.25,16.08,16.639999,104900,10.553747
2012-04-02,21.34,21.98,19.200001,20.42,94600,12.561959
2012-03-01,21.799999,22.50,20.00,21.42,94000,13.177138
2012-02-01,22.799999,23.549999,21.59,21.799999,118700,13.410906
2012-01-03,26.00,26.940001,19.16,22.700001,231200,13.610537
2011-12-01,25.049999,25.799999,23.190001,25.58,102200,15.337336
2011-11-01,27.450001,27.940001,23.75,25.15,84300,15.079515
2011-10-03,25.129999,28.01,22.049999,27.58,57800,16.161484
2011-09-01,27.40,27.84,24.51,25.129999,51800,14.72582
2011-08-01,27.870001,28.469999,22.50,27.370001,79200,16.038427
2011-07-01,26.299999,28.129999,25.85,27.469999,57900,15.714745
2011-06-01,26.700001,27.530001,25.040001,26.379999,67500,15.091188
2011-05-02,28.75,28.90,23.26,26.83,158900,15.34862
2011-04-01,32.060001,32.32,28.08,28.65,207500,16.084154
2011-03-01,31.25,32.919998,28.65,31.360001,82200,17.605553
2011-02-01,29.040001,31.98,27.209999,30.92,168100,17.358536
2011-01-03,26.879999,30.00,25.50,29.24,77700,16.123293
2010-12-01,26.450001,27.92,24.77,26.549999,71000,14.639995
2010-11-01,23.35,26.879999,22.85,26.200001,123500,14.447001
2010-10-01,20.209999,23.65,20.030001,23.24,136200,12.597452
2010-09-01,20.17,20.450001,19.00,20.299999,110600,11.003798
2010-08-02,19.75,20.50,19.309999,19.950001,124600,10.814078
2010-07-01,20.00,20.73,19.25,19.82,250500,10.596837
