Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,60.93,61.00,60.630001,60.709999,2364000,55.801273
2013-03-01,58.950001,61.130001,58.330002,61.029999,1441700,56.095398
2013-02-01,57.110001,59.200001,56.259998,59.00,1676100,54.229538
2013-01-02,56.200001,57.060001,54.950001,56.880001,1747500,51.718349
2012-12-03,55.799999,57.560001,54.509998,55.540001,1862400,50.49995
2012-11-01,60.439999,60.470001,53.630001,55.790001,1996000,50.727261
2012-10-01,59.959999,60.830002,59.009998,60.380001,1339000,54.312027
2012-09-04,60.639999,61.09,59.009998,59.889999,1532200,53.871269
2012-08-01,64.699997,65.980003,60.41,60.619999,1275800,54.527908
2012-07-02,62.240002,65.349998,61.59,64.50,1278400,57.468414
2012-06-01,59.970001,63.639999,59.970001,62.189999,1912200,55.41024
2012-05-01,59.360001,60.650002,58.349998,60.360001,1320100,53.779743
2012-04-02,58.259998,59.50,57.009998,59.450001,1903900,52.433147
2012-03-01,58.049999,59.50,56.990002,58.419998,1599000,51.524715
2012-02-01,59.09,59.509998,57.459999,58.099998,1997500,51.242485
2012-01-03,62.099998,62.259998,57.59,58.959999,2342300,51.468925
2011-12-01,59.310001,62.740002,58.259998,62.029999,1663300,54.148869
2011-11-01,57.150002,59.73,56.07,59.419998,1826000,51.87048
2011-10-03,56.75,59.889999,54.720001,57.869999,2425200,50.009186
2011-09-01,56.439999,58.790001,54.630001,57.02,2770900,49.274647
2011-08-01,53.150002,56.959999,49.18,56.209999,3919200,48.574673
2011-07-01,53.27,54.130001,52.330002,52.599998,1539400,44.947449
2011-06-01,53.00,53.310001,51.669998,53.240002,1685100,45.494339
2011-05-02,52.130001,54.360001,52.119999,53.060001,1864500,45.340527
2011-04-01,50.98,52.139999,49.799999,52.119999,1236200,44.043518
2011-03-01,49.959999,50.900002,48.849998,50.720001,1584400,42.860466
2011-02-01,50.139999,50.299999,48.549999,49.98,2298200,42.235134
2011-01-03,49.759998,50.869999,48.799999,49.91,1608000,41.670879
2010-12-01,48.799999,49.900002,48.040001,49.57,1489600,41.387009
2010-11-01,49.880001,51.029999,47.509998,48.369999,2008600,40.385101
2010-10-01,48.400002,49.959999,47.91,49.720001,1980900,41.015667
2010-09-01,47.919998,48.939999,47.439999,48.220001,2141300,39.778267
2010-08-02,46.400002,48.529999,46.119999,47.529999,2370000,39.209061
2010-07-01,43.099998,47.25,42.50,46.119999,1864200,37.569832
2010-06-01,42.349998,45.080002,41.52,43.099998,1671800,35.109707
2010-05-03,45.450001,45.830002,41.779999,42.59,2546400,34.69426
2010-04-01,44.740002,45.790001,44.200001,45.200001,1474300,36.326298
2010-03-01,42.810001,44.91,42.810001,44.540001,1583700,35.795872
2010-02-01,43.84,44.16,42.09,42.75,1954600,34.357285
2010-01-04,45.73,46.450001,43.07,43.740002,2356000,34.668427
