Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.559999,16.74,16.559999,16.610001,310800,13.460375
2013-03-01,17.17,17.440001,16.60,16.65,169600,13.492788
2013-02-01,17.50,17.719999,17.049999,17.219999,205400,13.749125
2013-01-02,16.99,17.58,16.969999,17.40,292100,13.892844
2012-12-03,16.51,16.950001,16.16,16.84,281800,13.445719
2012-11-01,16.58,16.879999,15.45,16.620001,205300,13.073295
2012-10-01,16.59,16.92,16.290001,16.469999,216100,12.955303
2012-09-04,16.77,17.440001,16.469999,16.469999,261800,12.955303
2012-08-01,16.58,16.90,16.42,16.74,190700,12.972782
2012-07-02,15.83,16.709999,15.75,16.450001,200400,12.748045
2012-06-01,14.56,16.00,14.28,15.70,219600,12.166826
2012-05-01,16.67,16.85,14.71,14.77,260900,11.226281
2012-04-02,16.18,16.700001,15.70,16.65,184700,12.655218
2012-03-01,16.83,17.15,16.120001,16.24,234800,12.343588
2012-02-01,16.639999,16.99,16.26,16.76,255300,12.51026
2012-01-03,14.28,16.65,14.28,16.469999,249700,12.293793
2011-12-01,14.73,15.26,14.07,14.15,300400,10.562062
2011-11-01,15.69,15.85,14.17,14.79,206100,10.813711
2011-10-03,14.18,16.09,13.57,15.87,214600,11.603353
2011-09-01,17.35,17.469999,14.45,14.47,212200,10.579742
2011-08-01,17.299999,17.700001,15.62,17.299999,234500,12.403446
2011-07-01,17.700001,17.75,16.99,17.23,166500,12.353259
2011-06-01,17.52,17.82,17.08,17.610001,192300,12.625705
2011-05-02,17.49,17.58,16.82,17.50,212300,12.328506
2011-04-01,16.25,17.530001,16.15,17.40,254500,12.258058
2011-03-01,16.09,16.360001,15.76,16.200001,187900,11.412675
2011-02-01,16.059999,16.209999,15.48,15.98,220000,11.050236
2011-01-03,16.27,16.639999,15.80,15.95,219400,11.02949
2010-12-01,16.60,17.01,15.55,16.15,273800,11.167791
2010-11-01,17.309999,18.059999,16.35,16.389999,287100,11.123869
2010-10-01,17.09,17.85,16.84,17.290001,263800,11.734698
2010-09-01,16.280001,17.15,16.219999,17.10,241800,11.605745
2010-08-02,16.209999,16.879999,16.01,16.200001,198600,10.800775
2010-07-01,14.56,16.15,14.23,16.10,249700,10.734102
2010-06-01,14.75,15.62,14.40,14.65,187100,9.767366
2010-05-03,15.80,15.92,13.34,14.88,373100,9.728574
2010-04-01,14.93,16.10,14.92,15.85,258900,10.362761
2010-03-01,14.22,15.32,14.22,14.90,255300,9.74165
2010-02-01,13.93,14.38,13.20,14.30,332400,9.164353
2010-01-04,13.72,14.64,13.72,13.92,354700,8.920825
2009-12-01,14.21,14.57,13.58,13.68,297900,8.767018
2009-11-02,13.81,14.90,13.67,14.17,252400,8.888238
2009-10-01,14.12,15.34,13.60,13.75,358600,8.62479
2009-09-01,13.00,14.47,12.93,14.16,260700,8.881966
2009-08-03,13.47,13.76,13.01,13.08,263100,8.06179
2009-07-01,12.57,13.47,12.01,13.44,231100,8.283675
2009-06-01,13.21,13.80,12.11,12.51,362800,7.710474
2009-05-01,10.35,13.13,10.32,13.13,452500,7.933179
2009-04-01,8.97,10.68,8.91,10.42,411600,6.29579
2009-03-02,9.00,9.96,7.79,9.08,390300,5.486159
2009-02-02,10.90,11.19,8.76,9.31,337300,5.479246
2009-01-02,10.45,11.57,10.07,11.00,381500,6.473867
2008-12-01,8.40,10.53,8.05,10.49,420200,6.173715
2008-11-03,9.69,9.92,6.61,8.60,434700,4.789269
2008-10-01,11.84,12.12,5.36,9.70,508400,5.40185
2008-09-02,14.53,14.56,11.00,11.95,372500,6.654857
2008-08-01,15.57,15.90,14.35,14.42,206100,7.73471
2008-07-01,15.22,15.90,14.13,15.40,233800,8.26037
2008-06-02,17.799999,17.940001,14.97,15.24,332900,8.174548
2008-05-01,17.540001,17.98,17.299999,17.799999,160200,9.256256
2008-04-01,17.440001,18.110001,17.049999,17.57,152900,9.136653
2008-03-03,18.120001,18.190001,16.84,17.34,151900,9.01705
2008-02-01,17.940001,18.49,17.209999,18.200001,186900,9.200046
2008-01-02,17.25,18.389999,16.530001,18.00,262300,9.098946
2007-12-03,17.209999,18.23,16.110001,17.209999,635700,8.699602
2007-11-01,18.940001,19.129999,16.25,17.370001,283400,8.533547
2007-10-01,17.67,20.469999,17.25,18.93,221000,9.029913
2007-09-04,18.10,18.48,17.219999,17.90,244700,8.538586
2007-08-01,18.469999,18.98,14.07,18.00,314500,8.586287
2007-07-02,19.309999,19.98,17.00,18.67,142400,8.619218
2007-06-01,20.200001,20.290001,18.50,19.35,141000,8.933147
2007-05-01,20.98,22.15,19.76,20.26,158900,9.353259
2007-04-24,20.00,21.00,20.00,20.799999,212000,9.602556
