Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,7.27,7.31,7.10,7.13,231400,7.13
2013-03-01,7.93,8.33,6.99,7.23,70600,7.23
2013-02-01,8.10,8.63,7.74,8.02,86200,8.02
2013-01-01,7.06,8.34,7.06,7.99,95100,7.99
2012-12-03,7.03,7.28,6.56,7.06,99600,7.06
2012-11-01,7.64,7.99,6.31,6.95,183100,6.95
2012-10-01,7.83,8.55,7.50,7.61,68500,7.61
2012-09-03,7.43,8.9899,7.34,7.75,142800,7.75
2012-08-01,7.54,8.25,7.25,7.43,133100,7.43
2012-07-02,7.54,7.90,7.21,7.50,117800,7.50
2012-06-01,7.45,8.71,7.10,7.52,339600,7.52
2012-05-01,9.30,9.45,7.15,7.61,287800,7.61
2012-04-02,0.07,10.44,0.04,9.00,543100,9.00
2012-03-01,0.075,0.09,0.05,0.07,53900,0.07
2012-02-01,0.06,0.08,0.05,0.07,24000,0.07
2012-01-02,0.05,0.10,0.05,0.06,19100,0.06
2011-12-01,0.10,0.10,0.05,0.05,26200,0.05
2011-11-07,0.115,0.115,0.085,0.095,11300,0.095
2011-10-04,0.08,0.12,0.075,0.11,53000,0.11
2011-09-07,0.15,0.19,0.07,0.13,38000,0.13
2011-08-02,0.15,0.20,0.145,0.19,31900,0.19
2011-07-08,0.195,0.195,0.13,0.18,51800,0.18
2011-06-01,0.175,0.20,0.16,0.20,59200,0.20
2011-05-02,0.24,0.25,0.17,0.19,60900,0.19
2011-04-01,0.20,0.27,0.185,0.23,130800,0.23
2011-03-01,0.17,0.33,0.16,0.18,259900,0.18
2011-02-01,0.09,0.195,0.07,0.17,222800,0.17
2011-01-04,0.10,0.12,0.085,0.09,27900,0.09
2010-12-01,0.10,0.12,0.085,0.095,40100,0.095
2010-11-01,0.09,0.10,0.08,0.085,31200,0.085
2010-10-01,0.10,0.135,0.085,0.09,47600,0.09
2010-09-02,0.065,0.10,0.065,0.08,95400,0.08
2010-08-03,0.045,0.075,0.045,0.075,39800,0.075
2010-07-06,0.05,0.065,0.045,0.05,53200,0.05
2010-06-02,0.06,0.065,0.045,0.05,100000,0.05
2010-05-03,0.07,0.075,0.05,0.055,79900,0.055
2010-04-01,0.075,0.085,0.065,0.07,112900,0.07
2010-03-02,0.06,0.115,0.055,0.075,88200,0.075
2010-02-01,0.06,0.07,0.05,0.07,62500,0.07
2010-01-04,0.07,0.085,0.05,0.06,77100,0.06
2009-12-01,0.075,0.09,0.06,0.065,105700,0.065
2009-11-03,0.07,0.10,0.065,0.075,104100,0.075
2009-10-01,0.125,0.125,0.075,0.075,152100,0.075
2009-09-01,0.14,0.17,0.115,0.13,119300,0.13
2009-08-03,0.22,0.285,0.13,0.165,191800,0.165
2009-07-01,0.05,0.29,0.045,0.22,586900,0.22
2009-06-01,0.04,0.095,0.035,0.05,86700,0.05
2009-05-01,0.04,0.04,0.025,0.04,70700,0.04
2009-04-01,0.025,0.04,0.025,0.04,3500,0.04
2009-03-02,0.045,0.05,0.025,0.025,17600,0.025
2009-02-02,0.02,0.045,0.02,0.045,12700,0.045
2009-01-01,0.01,0.02,0.01,0.02,1800,0.02
2008-12-01,0.01,0.02,0.01,0.01,23600,0.01
2008-11-03,0.03,0.03,0.01,0.01,172900,0.01
2008-10-01,0.045,0.06,0.025,0.035,114500,0.035
2008-09-01,0.10,0.10,0.06,0.06,9800,0.06
2008-08-01,0.09,0.10,0.08,0.10,2800,0.10
2008-07-01,0.10,0.105,0.10,0.10,16800,0.10
2008-06-02,0.105,0.12,0.10,0.10,8300,0.10
2008-05-01,0.12,0.12,0.10,0.105,2900,0.105
2008-04-01,0.12,0.16,0.11,0.12,7000,0.12
2008-03-03,0.145,0.145,0.11,0.12,24200,0.12
2008-02-01,0.16,0.18,0.12,0.145,50000,0.145
2008-01-01,0.18,0.18,0.10,0.16,19100,0.16
2007-12-03,0.14,0.18,0.12,0.18,22900,0.18
2007-11-01,0.155,0.17,0.14,0.14,25500,0.14
2007-10-01,0.14,0.175,0.14,0.17,11600,0.17
2007-09-03,0.195,0.195,0.14,0.14,19100,0.14
2007-08-01,0.235,0.235,0.145,0.195,44200,0.195
2007-07-02,0.18,0.29,0.15,0.22,31800,0.22
2007-06-01,0.19,0.22,0.17,0.18,18800,0.18
2007-05-01,0.215,0.24,0.19,0.19,18400,0.19
2007-04-02,0.265,0.265,0.215,0.215,11600,0.215
2007-03-01,0.235,0.235,0.15,0.23,22500,0.23
2007-02-01,0.22,0.35,0.22,0.24,23600,0.24
2007-01-01,0.205,0.24,0.205,0.215,10900,0.215
2006-12-01,0.22,0.235,0.19,0.205,56100,0.205
2006-11-01,0.165,0.26,0.165,0.20,16600,0.20
2006-10-02,0.185,0.24,0.14,0.165,10300,0.165
2006-09-01,0.17,0.255,0.17,0.185,31400,0.185
2006-08-01,0.16,0.245,0.16,0.17,3300,0.17
2006-07-04,0.19,0.245,0.16,0.16,11600,0.16
2006-06-01,0.25,0.25,0.18,0.19,15400,0.19
2006-05-01,0.27,0.27,0.21,0.25,35300,0.25
2006-04-03,0.27,0.32,0.23,0.23,28300,0.23
2006-03-01,0.18,0.27,0.17,0.27,9100,0.27
2006-02-01,0.20,0.25,0.165,0.17,21200,0.17
2006-01-02,0.15,0.21,0.13,0.20,30000,0.20
2005-12-01,0.15,0.195,0.12,0.15,30300,0.15
2005-11-01,0.20,0.20,0.135,0.15,34400,0.15
2005-10-03,0.20,0.25,0.15,0.15,5800,0.15
2005-09-01,0.25,0.26,0.20,0.23,2900,0.23
2005-08-04,0.26,0.27,0.24,0.25,9600,0.25
