Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,10.529895,10.549894,10.389896,10.499895,726000,28.560349
2013-03-01,10.859892,11.00989,10.319897,10.529895,339100,28.641949
2013-02-01,10.769893,11.269888,10.729893,10.909891,254500,29.675562
2013-01-02,10.789892,10.97989,10.369897,10.749892,242200,29.240356
2012-12-03,10.379896,10.649894,10.209898,10.639894,271100,28.675882
2012-11-01,10.569894,10.699893,9.719903,10.309897,249300,27.786499
2012-10-01,10.91989,10.91989,9.789903,10.529895,464200,28.379421
2012-09-04,11.569884,11.709884,10.779892,10.899892,462600,29.095222
2012-08-01,11.759882,11.799883,10.99989,11.559885,427100,30.856953
2012-07-02,11.139888,11.809882,10.94989,11.719883,234000,31.284037
2012-06-01,10.829892,11.209888,10.469895,11.07989,300800,29.315805
2012-05-01,11.219888,11.549885,10.749892,11.019891,225000,29.157055
2012-04-02,10.839892,11.409886,10.419896,11.269888,200300,29.818512
2012-03-01,10.309897,10.899892,10.219898,10.839892,203600,28.502188
2012-02-01,10.729893,10.899892,10.169899,10.279898,243000,27.029749
2012-01-03,10.409896,10.829892,9.749903,10.699893,258800,28.134077
2011-12-01,9.359906,10.339897,9.04991,10.229898,361400,26.724262
2011-11-01,8.949911,9.499906,8.519915,9.319906,400600,24.347029
2011-10-03,8.449916,9.739902,8.03992,9.249907,297900,24.164167
2011-09-01,8.99991,9.519905,8.509915,8.589914,419800,22.272915
2011-08-01,8.869911,9.069909,7.159928,8.99991,260500,23.335999
2011-07-01,8.599914,9.279907,8.549914,8.779912,183500,22.765564
2011-06-01,8.709912,8.759912,8.109919,8.569914,260000,22.051615
2011-05-02,8.559915,8.779912,7.889921,8.699913,193100,22.386122
2011-04-01,8.079919,8.579914,7.909921,8.509915,116500,21.89723
2011-03-01,8.249918,8.279918,7.409926,8.02992,144200,20.539289
2011-02-01,7.879921,8.279918,7.559925,8.249918,175500,21.102009
2011-01-03,7.869922,7.99992,7.239927,7.799922,355800,19.950991
2010-12-01,7.479926,7.889921,7.259928,7.769922,95400,19.744698
2010-11-01,7.589924,8.089919,7.159928,7.339927,130400,18.652006
2010-10-01,7.249928,7.889921,7.08993,7.499925,102500,19.05859
2010-09-01,6.96993,7.499925,6.879931,7.149929,127900,18.049969
2010-08-02,6.99993,7.379926,6.529935,6.839932,141200,17.267382
2010-07-01,6.01994,7.02993,5.869942,6.949931,110500,17.545074
2010-06-01,6.319937,6.869932,5.469945,6.02994,129000,15.111771
2010-05-03,7.139929,7.329927,5.93994,6.359937,212500,15.938783
2010-04-01,5.769942,7.379926,5.769942,7.069929,214400,17.718111
2010-03-01,5.499945,6.189938,5.399946,5.739943,143800,14.280154
2010-02-01,5.329947,5.689943,4.949951,5.449946,196400,13.558684
2010-01-04,4.919951,5.739943,4.779953,5.279947,238400,13.135753
2009-12-01,5.04995,5.319947,4.799952,4.839952,182900,11.928782
2009-11-02,5.06995,5.449946,4.559955,4.949951,147200,12.199891
2009-10-01,5.909941,6.00994,4.719953,5.00995,126300,12.347768
2009-09-01,5.779943,6.439936,5.329947,5.929941,171600,14.476821
2009-08-03,5.089949,6.169939,4.819952,5.849941,225200,14.281517
2009-07-01,4.359956,5.099949,4.219958,4.849952,357400,11.840233
2009-06-01,4.689953,5.239948,3.849962,4.289957,54900,10.245533
2009-05-01,4.639954,4.93995,4.039959,4.659953,48000,11.12918
2009-04-01,3.409966,5.189948,3.319967,4.689953,57200,11.200828
2009-03-02,3.589964,3.99996,2.609974,3.489965,56400,8.151505
2009-02-02,4.589954,4.949951,3.309967,3.649963,57500,8.525212
2009-01-02,5.239948,6.02994,4.419956,4.649953,71300,10.860887
2008-12-01,4.439956,5.329947,3.729963,5.219948,56200,11.933293
2008-11-03,4.219958,4.829952,2.159978,4.469955,92800,10.21874
2008-10-01,10.929892,11.05989,4.04996,4.249958,101000,9.715804
2008-09-02,11.139888,11.899881,9.839902,11.07989,102700,24.238796
2008-08-01,11.209888,11.679884,10.019899,10.959891,54500,23.97628
2008-07-01,11.579885,13.459866,10.829892,11.199887,66700,24.501307
2008-06-02,12.929872,13.459866,11.149889,11.649884,68400,25.066429
2008-05-01,13.379867,13.389866,12.559875,13.04987,50900,28.078705
2008-04-01,12.669873,14.499855,12.669873,13.339867,76700,28.702675
2008-03-03,12.759872,13.889861,11.929881,12.569874,81600,26.650175
2008-02-01,11.839882,13.149869,11.409886,12.739873,88300,27.010601
