Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,24.700001,24.77,24.549999,24.620001,184800,18.400681
2013-03-01,24.950001,25.139999,24.50,24.75,85000,18.497839
2013-02-01,23.99,26.99,23.950001,24.959999,206800,18.654791
2013-01-02,22.610001,24.24,22.610001,23.90,116100,16.846426
2012-12-03,22.299999,22.50,21.459999,22.459999,135200,15.831411
2012-11-01,22.360001,22.85,21.120001,22.280001,124800,15.704535
2012-10-01,22.889999,23.01,21.60,22.360001,111000,15.272106
2012-09-04,22.200001,22.959999,21.90,22.82,133300,15.58629
2012-08-01,23.00,24.01,21.65,22.030001,239400,15.046713
2012-07-02,21.25,23.24,21.049999,22.950001,89100,15.185018
2012-06-01,20.299999,21.450001,19.950001,21.16,85200,14.000651
2012-05-01,19.940001,21.91,19.85,20.60,44200,13.630124
2012-04-02,19.60,20.00,19.32,19.940001,14800,12.762274
2012-03-01,19.23,19.85,19.16,19.559999,26600,12.51906
2012-02-01,19.469999,20.15,18.639999,19.18,57200,12.275848
2012-01-03,17.530001,19.790001,17.16,19.309999,37600,12.110503
2011-12-01,17.129999,17.40,16.73,17.17,38600,10.768376
2011-11-01,17.91,18.75,16.549999,17.24,22400,10.812278
2011-10-03,16.950001,18.57,15.76,18.23,19900,11.164784
2011-09-01,17.73,17.76,16.67,17.18,35700,10.521722
2011-08-01,19.700001,20.639999,17.049999,17.790001,60900,10.895311
2011-07-01,21.049999,21.950001,19.120001,19.629999,30200,11.751735
2011-06-01,21.90,22.200001,20.719999,21.049999,39800,12.601835
2011-05-02,23.09,23.200001,21.50,21.969999,82600,13.152604
2011-04-01,23.139999,23.35,22.110001,22.74,56400,13.368174
2011-03-01,23.68,23.690001,22.809999,23.049999,50800,13.550413
2011-02-01,22.299999,25.09,22.00,23.559999,137800,13.850226
2011-01-03,22.530001,22.700001,22.00,22.209999,31900,12.343928
2010-12-01,22.40,22.68,21.76,22.24,28700,12.360602
2010-11-01,22.110001,22.65,21.450001,22.299999,29700,12.39395
2010-10-08,21.50,22.549999,21.049999,22.030001,321300,11.810286
