Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,13.93,13.93,13.80,13.85,127800,11.168756
2013-03-01,13.86,13.98,13.42,13.86,116100,11.17682
2013-02-01,14.06,14.24,13.84,13.97,83900,11.187383
2013-01-02,13.85,14.25,13.70,14.07,89200,11.190639
2012-12-03,13.80,14.12,13.57,13.78,94700,10.885207
2012-11-01,13.82,13.87,12.57,13.77,112100,10.801365
2012-10-01,13.73,13.99,13.48,13.70,96200,10.671041
2012-09-04,13.62,14.03,13.47,13.75,88700,10.636495
2012-08-01,13.43,13.82,13.37,13.70,76200,10.524518
2012-07-02,13.23,13.49,13.07,13.43,64000,10.245225
2012-06-01,12.74,13.31,12.52,13.31,69300,10.080557
2012-05-01,13.21,13.29,12.41,12.85,77200,9.661602
2012-04-02,13.14,13.26,12.81,13.23,85800,9.874307
2012-03-01,13.44,13.58,12.78,13.25,109200,9.816984
2012-02-01,13.08,13.49,13.05,13.44,100100,9.884671
2012-01-03,12.66,13.13,12.25,13.09,115100,9.557506
2011-12-01,12.26,13.07,12.14,12.60,105900,9.129422
2011-11-01,12.34,12.64,11.83,12.24,90100,8.800306
2011-10-03,11.57,12.58,10.33,12.52,147900,8.933254
2011-09-01,12.18,12.31,11.44,11.62,126100,8.22437
2011-08-01,13.08,13.28,10.83,12.16,203200,8.537774
2011-07-01,13.13,13.58,12.65,12.81,116600,8.923262
2011-06-01,13.39,13.41,12.57,13.07,81800,9.039001
2011-05-02,12.95,13.62,12.95,13.38,80000,9.184797
2011-04-01,12.94,13.18,12.80,12.90,88200,8.792139
2011-03-01,12.99,13.07,12.53,12.96,95500,8.768054
2011-02-01,12.87,13.24,12.75,13.02,78300,8.742009
2011-01-03,12.94,13.07,12.46,12.89,94600,8.591781
2010-12-01,12.83,13.08,11.83,12.88,151000,8.520877
2010-11-01,13.33,13.43,12.37,12.77,138000,8.383791
2010-10-01,12.77,13.46,12.70,13.26,176500,8.641282
2010-09-01,12.38,12.74,12.13,12.72,161700,8.231758
2010-08-02,11.99,12.58,11.93,12.33,131400,7.920427
2010-07-01,11.29,11.98,11.12,11.98,85900,7.641027
2010-06-01,10.65,11.37,10.61,11.28,82500,7.140628
2010-05-03,11.93,11.95,9.95,10.73,170200,6.73909
2010-04-01,11.67,11.88,11.51,11.87,132500,7.396188
2010-03-01,11.30,11.73,11.25,11.58,114000,7.161357
2010-02-01,11.11,11.43,10.39,11.26,147600,6.911177
2010-01-04,11.07,11.45,10.83,11.05,145900,6.728221
2009-12-01,10.63,11.15,10.62,11.08,97300,6.694409
2009-11-02,10.13,10.81,10.11,10.63,109000,6.371377
2009-10-01,10.87,10.87,10.03,10.10,117200,6.004887
2009-09-01,10.03,10.93,9.98,10.86,101500,6.405781
2009-08-03,9.99,10.24,9.85,10.05,81700,5.879365
2009-07-01,9.06,9.91,8.87,9.81,82800,5.690472
2009-06-01,8.87,9.23,8.64,9.09,93500,5.22599
2009-05-01,8.10,8.83,7.75,8.83,89800,5.029197
2009-04-01,6.73,7.91,6.62,7.80,105000,4.397811
2009-03-02,6.15,7.09,5.29,6.93,156800,3.8621
2009-02-02,7.56,7.86,6.20,6.40,145400,3.519872
2009-01-02,7.20,8.22,7.16,7.60,95200,4.130843
2008-12-01,6.44,7.45,5.56,7.27,117200,3.905277
2008-11-03,7.57,8.19,5.09,6.52,141400,3.45359
2008-10-01,8.28,8.84,5.17,7.25,148600,3.791179
2008-09-02,10.51,10.75,7.87,8.37,164500,4.330347
2008-08-01,10.53,10.80,10.36,10.45,63200,5.356297
2008-07-01,11.01,11.08,10.25,10.58,90100,5.379322
2008-06-02,12.12,12.16,11.05,11.07,99800,5.583579
2008-05-01,11.78,12.34,11.75,12.12,97400,6.069373
2008-04-01,11.08,11.79,11.01,11.75,90400,5.843293
2008-03-03,11.44,11.54,10.66,11.02,81600,5.439185
2008-02-01,12.10,12.15,11.10,11.45,80600,5.606736
2008-01-02,11.72,12.13,10.50,12.10,101400,5.880883
2007-12-03,11.70,11.94,11.42,11.70,146000,5.646461
2007-11-01,12.04,12.08,11.17,11.65,126700,5.581132
2007-10-01,12.49,12.65,11.86,12.04,99600,5.725521
2007-09-04,12.63,12.99,11.51,12.49,99700,5.898931
2007-08-01,12.29,12.84,10.60,12.63,133100,5.924907
2007-07-02,13.27,13.42,11.64,12.28,113100,5.721793
2007-06-01,14.14,14.28,12.71,13.23,116900,6.124895
2007-05-01,14.25,14.69,14.07,14.17,99700,6.518829
2007-04-02,14.08,14.45,14.06,14.26,94900,6.521617
2007-03-01,14.15,14.54,14.00,14.08,107700,6.400806
2007-02-01,14.19,14.35,13.86,14.15,115300,6.393986
2007-01-03,13.61,14.32,13.57,14.11,137200,6.337366
2006-12-01,13.45,14.05,13.39,13.53,157100,6.040591
2006-11-01,13.11,13.42,12.82,13.41,130800,5.987016
2006-10-02,13.14,13.25,12.95,13.05,91400,5.788167
2006-09-01,13.09,13.24,12.90,13.08,84000,5.763628
2006-08-01,13.00,13.25,12.91,13.09,86300,5.768034
2006-07-03,12.68,13.21,12.55,13.03,69300,5.704341
2006-06-01,12.47,13.00,12.41,12.58,107200,5.4713
2006-05-01,12.53,12.69,12.28,12.42,102400,5.365786
2006-04-03,12.43,12.52,12.14,12.46,77500,5.346286
2006-03-01,12.90,12.96,12.33,12.43,85900,5.296706
2006-02-01,12.80,13.01,12.57,12.92,78100,5.468483
2006-01-03,12.60,12.96,12.37,12.70,84500,5.339754
2005-12-01,12.86,12.92,12.09,12.75,235500,5.324954
2005-11-01,12.87,13.02,12.53,12.83,88900,5.358366
2005-10-03,13.30,13.44,12.48,12.87,69200,5.339209
2005-09-01,13.69,13.80,13.26,13.35,72300,5.501215
2005-08-01,13.59,13.80,13.15,13.69,84100,5.606421
2005-07-01,13.18,13.70,13.14,13.70,66900,5.574954
2005-06-01,12.98,13.28,12.83,13.18,73400,5.329073
2005-05-02,13.23,13.47,12.40,12.96,92600,5.206145
2005-04-01,13.50,13.70,12.82,13.20,69100,5.259219
2005-03-01,14.69,14.74,12.69,13.45,109600,5.316276
2005-02-01,14.67,14.95,14.20,14.59,80200,5.725291
2005-01-03,14.51,14.74,14.21,14.59,79100,5.725291
2004-12-01,14.54,14.68,14.28,14.43,89200,5.62159
2004-11-01,14.55,14.75,14.12,14.44,78400,5.58453
2004-10-01,14.03,14.55,13.98,14.48,71100,5.559259
2004-09-01,14.16,14.44,13.97,14.03,66900,5.346312
2004-08-02,13.87,14.26,13.59,14.23,67000,5.382524
2004-07-01,13.04,13.90,13.00,13.86,53800,5.202878
2004-06-01,13.77,13.88,12.72,12.99,68300,4.837774
2004-05-03,13.53,13.91,12.05,13.75,99600,5.080637
2004-04-01,15.00,15.15,13.00,13.63,104700,4.995137
2004-03-01,14.83,15.18,14.58,15.00,70600,5.455654
2004-02-02,15.15,15.49,14.35,14.75,98300,5.326509
2004-01-02,15.25,15.63,15.03,15.25,101200,5.468916
2003-12-01,15.09,15.36,14.84,15.20,70400,5.413683
