Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,4.650002,4.679996,4.539997,4.550002,239400,3.794567
2013-03-01,4.390003,5.000005,3.98,4.650002,268700,3.877963
2013-02-01,4.91,4.969999,4.270003,4.430003,399000,3.69449
2013-01-02,4.079999,5.420002,4.079999,4.99,490900,4.161512
2012-12-03,3.489997,4.439997,2.95,4.099999,426500,3.419277
2012-11-01,4.139999,4.390003,3.369998,3.429997,147400,2.860516
2012-10-01,4.399998,4.599997,3.910006,4.059999,203600,3.385919
2012-09-04,4.679996,5.689995,4.210004,4.279998,372000,3.569391
2012-08-01,4.79,5.930005,3.369998,4.730001,412400,3.94468
2012-07-02,5.500002,5.700001,4.150004,4.710001,390300,3.928001
2012-06-01,5.289998,6.279998,5.100005,5.500002,247800,4.586839
2012-05-01,7.420002,7.609996,4.779995,5.449997,381900,4.545135
2012-04-02,5.769995,7.600002,5.689995,7.420002,365000,6.188062
2012-03-01,6.510002,6.89,5.400002,5.800001,260100,4.718856
2012-02-01,5.649996,6.97,5.589996,6.599996,227600,5.369729
2012-01-03,4.379998,6.319998,4.379998,5.589996,218500,4.547997
2011-12-01,6.079999,6.190004,4.02,4.270003,350200,3.474057
2011-11-01,7.620001,8.510002,5.349998,6.059999,491300,4.93039
2011-10-03,5.709996,8.949999,5.000005,7.849995,506400,6.386723
2011-09-01,6.690001,6.81,5.569996,5.789995,347200,4.710716
2011-08-01,8.02,8.099998,5.520002,6.79,571500,5.524316
2011-07-01,9.82,9.930005,7.269998,7.849995,616400,6.386723
2011-06-01,10.259997,10.259997,7.429997,9.810005,519800,7.981379
2011-05-02,11.950005,12.079999,9.930005,10.499996,378000,8.542753
2011-04-01,11.970004,13.260003,11.850005,11.950005,396400,9.722474
2011-03-01,12.370002,12.699995,10.960005,11.750006,503500,9.365606
2011-02-01,14.499995,15.049998,11.609995,12.190002,501100,9.716316
2011-01-03,15.040004,16.250002,14.030004,14.339997,398400,11.430017
2010-12-01,14.239998,15.380002,13.449996,14.960004,555400,11.924208
2010-11-01,16.85,17.899998,13.149998,13.950005,673500,11.119164
2010-10-01,18.809999,19.280003,16.499996,16.709999,450500,13.319081
2010-09-01,16.199997,20.139997,15.990004,18.869999,642000,15.040756
2010-08-02,16.379997,17.060003,14.390001,16.030003,480600,12.777075
2010-07-01,14.659995,17.400002,13.94,16.299997,439600,12.992279
2010-06-01,14.399997,16.499996,13.009999,14.809999,332300,11.804643
2010-05-03,16.840004,17.080004,13.309998,14.570002,1145800,11.613347
2010-04-01,19.400002,20.65,16.179996,16.809999,834800,13.398787
2010-03-01,17.569994,21.089998,17.569994,19.029999,832000,14.9824
2010-02-01,16.230003,18.219997,15.649995,17.500002,721800,13.777826
2010-01-04,18.310003,19.489996,15.489996,16.039999,1417500,12.62836
2009-12-01,19.480001,22.150002,17.870005,18.119999,1293000,14.265953
2009-11-02,17.040003,21.400002,16.700005,19.450006,1868600,15.313073
2009-10-01,22.390001,23.939999,16.760006,17.109997,2700100,13.470775
2009-09-01,18.800005,22.949999,18.019999,21.360003,2099100,16.816822
2009-08-03,18.090002,24.390001,17.589994,19.069998,2224100,15.013892
2009-07-01,15.560001,19.500002,13.509995,17.779999,1024300,13.99827
2009-06-01,15.029999,16.980003,13.790005,15.440001,1323800,12.155979
2009-05-01,12.630001,15.180003,11.269997,14.650001,1053700,11.534009
2009-04-01,7.749995,13.089998,7.649995,12.390002,1098900,9.754702
2009-03-02,6.210003,8.779995,6.02,7.769995,429100,6.117351
2009-02-02,6.710001,7.88,5.88,6.310003,349300,4.967893
2009-01-02,8.259997,8.800005,5.600001,6.639996,353000,5.227697
2008-12-01,5.429997,8.87,5.180004,8.099998,663900,6.377164
2008-11-03,6.85,6.940005,4.00,5.700001,735800,4.487636
2008-10-01,7.320003,7.349998,4.510002,6.799995,734000,5.353665
2008-09-02,9.349998,10.590001,6.690001,7.180004,820500,5.652848
2008-08-01,9.440002,10.499996,7.240004,9.03,939200,7.109357
2008-07-01,11.449997,11.750006,9.449997,9.489997,898500,7.471515
2008-06-02,14.880005,14.980004,10.319997,11.360003,984500,8.943779
2008-05-01,16.75,18.379995,14.239998,15.000004,1042700,11.809567
2008-04-01,13.469996,16.989998,12.590001,16.719995,1030300,13.163724
2008-03-03,15.910005,16.370001,10.050004,13.149998,1435300,10.35305
2008-02-01,17.930004,19.699999,15.560001,16.259998,941300,12.801566
2008-01-02,23.90,28.090004,15.020003,18.479996,1037400,14.549379
2007-12-03,23.999998,29.120003,20.749998,23.830004,707700,18.761465
2007-11-01,35.049999,35.250004,18.00,24.660006,1670000,19.414928
2007-10-01,23.289995,36.450001,23.200003,35.50,1457400,27.949301
2007-09-04,18.399996,23.870003,17.799999,22.900003,872600,18.029272
2007-08-09,18.75,18.969999,12.259997,18.079998,877100,14.234461
