Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,11.76,11.90,11.68,11.76,7663800,11.76
2013-03-01,11.25,12.145,11.225,11.80,3860000,11.80
2013-02-01,10.55,11.62,9.37,11.34,10423900,11.34
2013-01-01,10.21,10.99,9.80,10.51,2944500,10.51
2012-12-03,9.88839,10.4367,9.43803,10.21,3218300,10.21
2012-11-01,10.5346,10.8919,9.63873,9.7709,2601000,9.7709
2012-10-01,10.5933,11.122,10.2213,10.5737,3591700,10.5737
2012-09-03,11.122,11.3667,10.3094,10.4954,3697300,10.4954
2012-08-01,11.2884,11.7486,9.63384,11.122,5858100,11.122
2012-07-02,14.3235,14.3431,11.073,11.308,4327700,11.308
2012-06-01,13.55,14.4899,12.4829,14.2843,3053900,14.2843
2012-05-01,13.6871,14.5976,12.3164,13.6675,3269800,13.6675
2012-04-02,14.5193,14.8032,12.8647,13.5011,2335600,13.5011
2012-03-01,12.2283,14.9501,11.729,14.6955,3101500,14.6955
2012-02-01,13.2955,14.1007,11.68,12.2381,3188300,12.2381
2012-01-02,13.4521,13.8829,12.6591,13.3249,3509600,13.3249
2011-12-01,10.5933,13.7263,10.5003,13.4521,3386600,13.4521
2011-11-01,11.2395,11.8171,9.61425,10.5933,2051300,10.5933
2011-10-03,10.1919,11.9444,9.39886,11.7388,3236700,11.7388
2011-09-01,10.4856,10.7597,8.98766,10.3094,3252600,10.3094
2011-08-01,11.2493,11.4059,8.40023,10.4465,5132100,10.4465
2011-07-01,11.2297,12.336,10.5541,10.8283,4062400,10.8283
2011-06-01,9.32054,11.3275,9.09536,11.1318,4528000,11.1318
2011-05-02,7.98903,9.4674,7.62679,9.36949,3904100,9.36949
2011-04-01,6.72606,8.25338,6.54004,7.93029,5712900,7.93029
2011-03-01,6.32465,6.80439,6.01136,6.73585,1853700,6.73585
2011-02-01,6.74564,7.02957,5.9722,6.21696,3228500,6.21696
2011-01-03,5.70785,7.08831,5.60995,6.60858,3632400,6.60858
2010-12-01,5.09105,6.0701,4.95398,5.60995,2613000,5.60995
2010-11-01,5.32602,5.76659,5.00294,5.0421,2895400,5.0421
2010-10-01,5.66869,6.05052,5.16938,5.33581,3054200,5.33581
2010-09-01,4.34697,5.71764,4.28823,5.62953,3046000,5.62953
2010-08-02,4.68964,5.37498,4.16096,4.28823,1996900,4.28823
2010-07-01,4.44488,5.17917,4.39593,4.67006,3169000,4.67006
2010-06-01,5.53162,5.64911,4.34697,4.40572,3030100,4.40572
2010-05-03,6.39319,6.53025,4.99315,5.61974,4114700,5.61974
2010-04-01,7.38202,8.06736,6.45193,6.57921,3658500,6.57921
2010-03-01,6.75543,7.57783,6.75543,7.42119,2144600,7.42119
2010-02-01,7.29391,7.45056,6.44214,6.71627,2109900,6.71627
2010-01-04,6.3736,7.99883,6.36381,7.29391,3458000,7.29391
2009-12-01,6.30507,6.59879,6.06031,6.3834,2078400,6.3834
2009-11-02,5.33581,6.55962,5.25749,6.18759,4718300,6.18759
2009-10-01,6.96103,6.97082,4.51341,5.33581,6820600,5.33581
2009-09-01,7.06873,7.7149,6.65753,6.96103,2907800,6.96103
2009-08-03,7.94008,8.11631,6.88271,7.07852,2239400,7.07852
2009-07-01,6.36381,8.41003,6.30507,7.7149,7048700,7.7149
2009-06-01,7.83239,8.40023,5.93303,6.23654,4635400,6.23654
2009-05-01,5.8645,7.47993,5.64911,6.83376,3355800,6.83376
2009-04-01,6.42256,6.53025,5.29665,5.78618,2805500,5.78618
2009-03-02,5.88408,7.56804,4.74838,6.50088,3709600,6.50088
2009-02-02,6.98061,8.37086,5.9722,6.05052,3502400,6.05052
2009-01-02,5.87429,8.93871,5.87429,7.07852,4304500,7.07852
2008-12-01,6.10926,7.33307,5.28686,5.87429,2339700,5.87429
2008-11-03,7.47993,7.75406,4.88545,6.13863,2954200,6.13863
2008-10-01,10.4465,11.2884,5.7568,7.47014,5240400,7.47014
2008-09-02,12.9234,12.9626,9.39886,10.4465,6295900,10.4465
2008-08-01,10.7989,14.8326,9.34991,13.1095,19434700,13.1095
2008-07-01,34.8052,36.6654,18.1222,19.6299,14227600,19.6299
2008-06-02,24.4762,35.2457,23.7909,34.8052,7376200,34.8052
2008-05-01,25.8273,27.3252,23.7223,24.5154,3426400,24.5154
2008-04-01,20.7167,26.9434,20.0999,25.7392,4204600,25.7392
2008-03-03,22.4006,22.4006,17.4466,20.423,4071600,20.423
2008-02-01,24.9951,26.3168,21.3237,22.2929,4278400,22.2929
2008-01-02,21.353,25.3084,20.8635,24.8287,4091700,24.8287
2007-12-03,23.1839,24.3783,20.4915,21.5195,2915900,21.5195
2007-11-01,23.0566,23.6342,21.2649,22.5475,2696100,22.5475
2007-10-01,20.4817,24.2314,20.4621,23.3013,3336100,23.3013
2007-09-04,19.1306,20.8146,17.3389,20.5992,3176400,20.5992
2007-08-01,19.1796,20.0705,16.7124,18.974,3574200,18.974
2007-07-02,21.8426,22.6258,16.027,18.3376,5801900,18.3376
2007-06-01,19.6985,21.9307,18.5138,21.4705,5062500,21.4705
2007-05-01,13.7067,20.2467,13.3346,19.3068,7750500,19.3068
2007-04-02,13.1878,15.1263,13.0311,13.5892,3290300,13.5892
2007-03-01,12.4535,13.413,12.0913,13.0115,3254600,13.0115
2007-02-01,12.1794,14.7836,12.1402,12.6689,4609800,12.6689
2007-01-03,14.441,14.4703,11.4549,12.1891,4619900,12.1891
2006-12-01,14.1081,14.6172,13.5109,14.441,2687200,14.441
2006-11-01,14.1668,14.9501,13.7067,14.1668,2552700,14.1668
2006-10-02,15.0578,15.8116,14.0004,14.1766,3130900,14.1766
2006-09-01,16.1837,16.2718,14.7934,15.2732,2977500,15.2732
2006-08-01,15.1263,16.497,14.0298,16.1837,3861400,16.1837
2006-07-03,16.3403,16.497,12.8647,15.0186,4897500,15.0186
2006-06-01,18.3865,19.0131,14.4997,16.3501,7948000,16.3501
2006-05-01,14.3724,18.974,14.1277,18.4159,8501500,18.4159
2006-04-03,14.1473,14.7347,13.7654,14.4018,3387200,14.4018
2006-03-01,12.7178,15.6354,11.8465,14.1375,9838300,14.1375
2006-02-01,15.469,15.6452,11.6311,12.4339,9688600,12.4339
2006-01-03,13.8242,16.4774,12.8255,15.5767,14480600,15.5767
2005-12-01,10.1625,14.206,9.92755,13.6381,9703900,13.6381
2005-11-01,8.11631,10.8185,8.0282,10.1332,7389900,10.1332
2005-10-03,8.67437,8.75269,7.46035,8.07715,4313100,8.07715
2005-09-01,8.73311,9.10515,7.56804,8.67437,6592000,8.67437
2005-08-01,7.43098,9.29117,7.37223,8.72332,8396000,8.72332
2005-07-01,6.64774,8.05757,6.57921,7.32328,6347400,7.32328
2005-06-01,7.88134,7.91071,5.95261,6.67711,11623100,6.67711
2005-05-02,5.82534,8.24359,5.60995,7.73448,17727500,7.73448
2005-04-01,3.37772,5.50225,3.23086,5.39456,17395200,5.39456
2005-03-01,8.21422,8.32191,2.93715,3.17212,49507200,3.17212
2005-02-01,26.4343,29.3029,7.73448,7.83239,21073300,7.83239
2005-01-03,27.4133,28.833,24.7797,26.3658,4451400,26.3658
2004-12-01,25.8469,27.7071,24.6035,26.6791,4165000,26.6791
2004-11-01,25.1224,29.812,24.9755,25.8469,6515300,25.8469
2004-10-01,22.8608,26.3462,20.0901,25.2595,6318700,25.2595
2004-09-01,22.2244,23.9377,22.0678,22.9097,3435200,22.9097
2004-08-02,19.8257,22.3321,16.1054,22.1559,5781100,22.1559
2004-07-01,24.2217,25.3573,17.4075,20.1194,5639800,20.1194
2004-06-01,22.9979,25.0636,20.5013,24.2217,3513000,24.2217
2004-05-03,20.9516,23.2524,18.6998,22.9979,5075500,22.9979
2004-04-01,20.3642,24.251,18.9544,21.1474,6438700,21.1474
2004-03-01,14.5682,20.5796,13.8242,20.188,12456100,20.188
2004-02-02,8.41982,14.3568,7.73448,14.1179,11897100,14.1179
2004-01-02,6.77501,8.95829,6.73585,8.41982,6394900,8.41982
2003-12-01,5.38477,6.91208,5.3456,6.74564,4728800,6.74564
2003-11-03,5.12042,5.57079,4.74838,5.3456,5017300,5.3456
2003-10-01,5.18896,5.84492,4.6309,5.02252,5699800,5.02252
2003-09-02,4.33718,6.168,4.23928,5.17917,3808400,5.17917
2003-08-01,4.71901,5.13021,4.12179,4.26865,2777900,4.26865
2003-07-01,5.77639,6.32465,3.96515,4.74838,4455000,4.74838
2003-06-02,6.00157,8.81144,4.43509,5.52183,6929900,5.52183
2003-05-01,3.26023,6.05052,3.24065,5.99178,3896000,5.99178
2003-04-01,2.64343,3.47562,2.64343,3.30918,2182800,3.30918
2003-03-03,3.41688,3.75955,2.20286,2.73154,3704800,2.73154
2003-02-03,4.45467,4.71901,2.70217,3.29939,3379800,3.29939
2003-01-02,2.6728,4.84629,2.59448,4.48404,5891600,4.48404
2002-12-02,2.43783,3.02526,2.08537,2.40846,4250300,2.40846
2002-11-01,1.76229,2.49657,1.76229,2.38888,4105900,2.38888
2002-10-01,1.56648,1.78187,1.01821,1.71333,4296300,1.71333
2002-09-03,2.92735,3.62248,1.77208,1.88956,2931100,1.88956
2002-08-01,2.15391,3.75955,1.60564,2.92735,5288700,2.92735
2002-07-01,5.43372,5.53162,1.29234,2.47699,12568900,2.47699
2002-06-03,9.69258,9.69258,5.18896,5.35539,3878600,5.35539
2002-05-01,11.5528,12.336,8.87997,9.65342,2562500,9.65342
2002-04-01,13.5109,13.6773,10.1821,11.6311,2860500,11.6311
2002-03-01,13.9025,15.6158,12.7276,13.6186,2902200,13.6186
2002-02-01,27.4133,29.4694,11.8661,13.8046,12303200,13.8046
2002-01-02,44.0768,44.2334,22.0286,27.5015,7451600,27.5015
2001-12-03,43.0781,45.2712,39.4067,44.1159,1736800,44.1159
2001-11-01,44.9383,45.8097,38.5256,43.2935,2847400,43.2935
2001-10-01,47.6797,50.9105,43.4306,44.6936,1576200,44.6936
2001-09-04,50.4699,52.6728,40.6305,47.4349,2269900,47.4349
2001-08-01,57.1764,57.1764,50.4699,50.8616,1350300,50.8616
2001-07-02,59.722,61.5332,54.3861,56.54,1437800,56.54
2001-06-01,56.1484,63.6381,54.6799,59.722,1918700,59.722
2001-05-01,49.1972,57.666,49.0993,56.5009,1515100,56.5009
2001-04-02,51.1651,54.3372,46.8475,49.0993,1743000,49.0993
2001-03-01,54.8267,55.4631,43.0781,51.1553,1670000,51.1553
2001-02-01,49.1482,56.589,48.8545,53.8085,1844300,53.8085
2001-01-02,46.0153,53.3581,41.8543,49.1482,2733600,49.1482
2000-12-01,53.6029,54.4596,42.3438,45.8322,1818400,45.8322
2000-11-01,51.1553,55.1939,45.281,52.8079,2196300,52.8079
2000-10-02,53.6029,58.8653,48.7077,50.8498,1730200,50.8498
2000-09-01,57.5191,58.2534,46.6272,53.6029,2288800,53.6029
2000-08-01,53.3581,58.6205,51.8896,57.0913,1944000,57.0913
2000-07-03,46.26,52.3184,45.0362,52.0736,1997800,52.0736
2000-06-01,38.9759,47.4838,35.7353,47.4231,1609400,47.4231
2000-05-01,41.6096,44.7915,36.3472,38.9789,1593300,38.9789
2000-04-03,46.7496,47.9734,37.9381,42.5886,2592700,42.5886
2000-03-01,41.12,47.2391,36.5919,46.5048,1883400,46.5048
2000-02-01,29.5575,40.9977,29.4938,39.8962,2568800,39.8962
2000-01-03,29.3107,29.861,25.4553,29.4331,2181600,29.4331
