Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.63,6.73,6.63,6.71,1444000,6.633804
2013-03-01,6.68,6.88,6.44,6.62,521400,6.544826
2013-02-01,6.57,7.30,6.50,6.72,855200,6.64369
2013-01-02,6.64,6.75,6.30,6.56,576200,6.476449
2012-12-03,6.75,6.80,6.21,6.50,425100,6.417213
2012-11-01,5.44,6.77,5.37,6.74,564800,6.654156
2012-10-01,6.45,6.70,5.38,5.46,866900,5.381564
2012-09-04,5.74,6.45,5.67,6.14,593100,6.051795
2012-08-01,5.52,6.39,5.31,5.75,480600,5.667397
2012-07-02,5.92,6.42,5.20,5.49,509100,5.402319
2012-06-01,5.41,5.97,5.29,5.91,298500,5.815612
2012-05-01,6.09,6.27,5.22,5.52,499500,5.431841
2012-04-02,6.72,7.13,5.17,6.13,740600,6.021051
2012-03-01,6.60,7.29,6.34,6.76,511600,6.639854
2012-02-01,6.74,7.00,6.21,6.55,682800,6.433587
2012-01-03,5.65,6.78,5.48,6.70,442200,6.570857
2011-12-01,5.64,5.81,5.35,5.53,484800,5.423409
2011-11-01,5.53,5.78,5.00,5.65,529100,5.541096
2011-10-03,5.11,6.07,4.70,5.81,554900,5.687362
2011-09-01,5.60,6.01,5.10,5.17,766900,5.060871
2011-08-01,6.46,6.52,5.11,5.62,1016600,5.501372
2011-07-01,6.26,6.92,6.17,6.35,758200,6.205569
2011-06-01,6.75,6.82,5.82,6.22,701500,6.078526
2011-05-02,7.07,7.20,6.57,6.77,693800,6.616016
2011-04-01,6.85,7.20,6.52,7.08,826400,6.908849
2011-03-01,7.74,7.91,6.60,6.82,834300,6.655135
2011-02-01,7.38,8.22,7.37,7.74,621900,7.552895
2011-01-03,8.13,8.37,7.13,7.35,733500,7.163267
2010-12-01,7.77,8.48,7.72,8.07,530000,7.864974
2010-11-01,6.89,7.96,6.80,7.66,502000,7.465391
2010-10-01,6.97,7.37,6.64,6.88,717900,6.695777
2010-09-01,6.34,7.17,6.31,7.00,483400,6.812564
2010-08-02,6.84,7.34,6.19,6.25,477000,6.082646
2010-07-01,6.09,7.10,5.80,6.75,803800,6.559009
2010-06-01,8.33,8.57,6.00,6.04,1343300,5.869099
2010-05-03,9.48,9.77,7.70,8.42,1058400,8.181757
2010-04-01,8.90,10.19,8.81,9.39,1175500,9.113907
2010-03-01,7.95,9.50,7.69,8.82,1203700,8.560666
2010-02-01,7.50,8.84,7.37,7.93,1006200,7.696835
2010-01-04,7.66,8.78,7.38,7.46,1175400,7.231604
2009-12-01,7.24,7.96,6.99,7.54,1100400,7.309154
2009-11-02,6.85,7.48,6.48,7.17,1036800,6.950482
2009-10-01,7.60,9.05,6.76,6.84,1289200,6.62165
2009-09-01,7.01,8.25,6.69,7.61,841200,7.367069
2009-08-03,6.56,7.23,6.34,7.07,1017500,6.844307
2009-07-01,5.10,6.82,4.66,6.37,1855500,6.156972
2009-06-01,7.18,7.92,5.01,5.07,2136400,4.900447
2009-05-01,8.05,8.89,6.41,7.12,1086100,6.86837
2009-04-01,7.06,8.47,6.93,7.55,763100,7.283174
2009-03-02,6.63,8.49,5.69,7.18,691000,6.86676
2009-02-02,7.50,8.38,6.29,6.77,692700,6.474647
2009-01-02,9.33,10.31,7.59,7.61,595400,7.278001
2008-12-01,9.89,10.27,8.25,9.29,609000,8.884707
2008-11-03,10.45,10.51,7.55,10.07,588700,9.563732
2008-10-01,13.92,14.08,9.00,10.46,891400,9.934126
2008-09-02,13.74,15.45,12.80,14.07,858200,13.362634
2008-08-01,12.59,14.50,12.34,13.58,664900,12.830344
2008-07-01,11.81,13.91,10.63,12.68,1184500,11.980027
2008-06-02,12.69,12.74,11.57,11.83,1177300,11.17695
2008-05-01,13.74,14.69,12.10,12.70,1201300,11.932261
2008-04-01,14.65,15.49,13.64,13.74,1343200,12.909392
2008-03-03,15.08,16.00,14.30,14.68,1071900,13.792568
2008-02-01,18.00,18.059999,15.13,15.24,936800,14.250715
2008-01-02,17.389999,18.200001,13.94,17.99,1203100,16.822203
2007-12-03,17.139999,18.129999,16.690001,17.43,662100,16.298555
2007-11-01,17.040001,17.75,15.66,17.059999,995600,15.887231
2007-10-01,16.00,17.52,15.08,17.32,887200,16.129358
2007-09-04,16.33,17.00,15.46,16.01,637700,14.909412
2007-08-01,16.23,18.309999,15.11,16.32,1265700,15.132914
2007-07-02,17.940001,19.49,16.190001,16.23,953100,15.04946
2007-06-01,18.25,18.940001,17.209999,17.809999,1004900,16.514534
2007-05-01,17.870001,18.950001,17.27,18.17,757200,16.782425
2007-04-02,15.82,18.75,15.75,17.959999,1053500,16.588461
2007-03-01,14.75,16.059999,14.21,15.76,743600,14.556467
2007-02-01,16.530001,16.93,14.45,15.08,1037700,13.867153
2007-01-03,14.60,16.940001,13.76,16.52,832100,15.191338
2006-12-01,14.80,15.23,14.12,14.41,484000,13.25104
2006-11-01,13.45,15.05,13.07,14.77,642900,13.582086
2006-10-02,13.03,14.15,12.26,13.43,619600,12.290728
2006-09-01,13.50,13.73,12.55,13.11,350300,11.997873
2006-08-01,12.73,13.52,12.32,13.41,409600,12.20531
2006-07-03,12.99,12.99,11.49,12.65,753600,11.513584
2006-06-01,13.40,13.95,12.35,12.99,899300,11.82304
2006-05-01,16.059999,16.59,13.14,13.33,646400,12.067715
2006-04-03,17.190001,17.42,15.12,15.98,715200,14.466773
2006-03-01,16.440001,17.290001,16.01,17.200001,407300,15.571246
2006-02-01,15.28,16.90,15.28,16.49,532400,14.866682
2006-01-03,14.04,15.36,13.57,15.28,454300,13.775798
2005-12-01,14.75,15.14,13.69,13.84,407200,12.477555
2005-11-01,14.20,15.20,13.99,14.65,443700,13.145262
2005-10-03,15.19,15.73,12.96,14.25,610300,12.786347
2005-09-01,14.85,15.48,14.16,15.09,661700,13.54007
2005-08-01,14.97,15.95,14.77,14.91,551300,13.315194
