Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,23.860001,23.860001,23.530001,23.57,20563000,22.819504
2013-03-01,22.969999,25.65,22.75,23.889999,23196600,23.129314
2013-02-01,24.790001,25.02,22.780001,23.01,21078900,22.277334
2013-01-02,25.51,25.75,23.110001,24.610001,33777700,23.826389
2012-12-03,24.90,26.200001,24.450001,25.299999,17203500,24.494417
2012-11-01,24.50,25.49,23.23,24.82,17524000,24.029701
2012-10-01,27.35,27.889999,23.76,24.42,23489600,23.642439
2012-09-04,26.27,28.18,25.969999,27.27,16736000,26.401691
2012-08-01,26.459999,27.09,25.440001,26.290001,15611300,25.452896
2012-07-02,25.52,26.67,22.790001,26.209999,19070400,25.375443
2012-06-01,23.35,25.65,22.77,25.629999,22586600,24.81391
2012-05-01,28.16,28.75,23.530001,23.85,21635200,23.09059
2012-04-02,29.83,29.99,27.34,28.209999,19279800,27.31176
2012-03-01,27.719999,30.00,27.07,29.879999,19672800,28.928585
2012-02-01,25.90,28.309999,25.59,27.690001,20077000,26.808319
2012-01-03,21.92,25.959999,21.59,25.76,25691800,24.939772
2011-12-01,22.82,23.99,21.25,21.540001,22269500,20.854143
2011-11-01,23.83,25.09,21.809999,23.01,20987300,22.277334
2011-10-03,20.68,25.129999,19.99,24.51,25052500,23.729574
2011-09-01,22.559999,22.99,20.059999,20.99,22647500,20.321653
2011-08-01,26.42,26.50,19.84,22.59,35537200,21.870708
2011-07-01,27.51,28.25,25.870001,26.08,17052600,25.249582
2011-06-01,28.23,28.57,25.389999,27.549999,19854600,26.672775
2011-05-02,28.639999,28.700001,26.780001,28.469999,18438500,27.563482
2011-04-01,26.940001,28.73,25.59,28.34,20474400,27.437622
2011-03-01,27.34,27.59,25.00,26.559999,22292800,25.714298
2011-02-01,24.98,27.379999,24.98,27.209999,25762500,26.343601
2011-01-03,22.90,25.049999,22.84,24.889999,27707200,24.097473
2010-12-01,21.73,23.200001,21.73,22.90,14060000,22.170837
2010-11-01,21.08,22.35,20.540001,21.49,21054800,20.805733
2010-10-01,20.48,21.620001,19.389999,21.02,29344500,20.350698
2010-09-01,18.43,21.83,18.41,20.309999,28155700,19.663305
2010-08-02,20.049999,20.969999,17.90,18.24,26260400,17.659218
2010-07-01,18.27,20.65,17.870001,19.790001,29309800,19.159864
2010-06-01,18.459999,19.65,17.719999,18.299999,24778700,17.717306
2010-05-03,19.08,19.57,17.10,18.620001,30141200,18.027119
2010-04-01,18.18,20.00,17.99,19.01,24481000,18.404699
2010-03-01,17.48,19.040001,17.309999,18.040001,22502900,17.465586
2010-02-01,16.67,17.91,16.450001,17.49,21001400,16.933098
2010-01-04,17.719999,18.309999,16.559999,16.67,33419200,16.139208
2009-12-01,16.879999,17.879999,16.440001,17.469999,19191500,16.913734
2009-11-02,16.49,17.50,16.120001,16.83,19293200,16.294113
2009-10-01,16.950001,18.440001,16.35,16.469999,24950700,15.945576
2009-09-01,15.85,17.48,15.39,17.040001,21137300,16.497427
2009-08-03,15.36,16.48,14.72,15.90,19922800,15.393725
2009-07-01,12.96,15.72,12.31,15.06,28063900,14.580473
2009-06-01,11.82,13.74,11.82,13.10,25972400,12.682881
2009-05-01,12.54,13.00,11.51,11.75,25874000,11.375866
2009-04-01,11.20,13.40,10.91,12.53,31258700,12.13103
2009-03-02,10.31,12.06,9.61,11.40,30904500,11.03701
2009-02-02,10.94,12.59,10.50,10.50,29998300,10.165668
2009-01-02,10.34,12.05,10.20,11.04,28071000,10.688474
2008-12-01,10.34,11.43,9.99,10.47,22752400,10.136623
2008-11-03,11.78,11.86,8.25,10.57,28981900,10.233438
2008-10-01,12.00,12.25,8.35,11.78,43347900,11.404911
2008-09-02,15.45,15.69,11.22,11.96,39009200,11.57918
2008-08-01,15.20,15.78,14.12,15.28,23331500,14.793467
2008-07-01,14.56,15.75,12.06,15.01,46782600,14.532064
2008-06-02,17.40,17.780001,14.49,14.69,28073200,14.222253
2008-05-01,15.40,18.50,15.40,17.440001,35364000,16.884691
2008-04-01,14.55,16.60,14.05,15.40,31468500,14.909646
2008-03-03,15.54,15.62,14.01,14.34,35034400,13.883398
2008-02-01,16.00,16.309999,14.87,15.54,39280200,15.045188
2008-01-02,18.549999,18.60,15.08,15.83,61055700,15.325954
2007-12-03,19.09,20.190001,17.879999,18.530001,28806600,17.939983
2007-11-01,25.09,25.200001,17.360001,19.27,56403700,18.656422
