Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,20.35,20.40,20.17,20.34,118800,17.258127
2013-03-01,20.360001,20.84,20.02,20.370001,48600,17.283583
2013-02-01,20.969999,20.98,20.25,20.52,41100,17.410854
2013-01-02,20.32,21.00,20.17,20.77,62900,17.622976
2012-12-03,18.889999,20.00,18.870001,20.00,64200,16.969645
2012-11-01,19.00,19.51,17.98,18.889999,68400,15.78816
2012-10-01,18.50,19.00,18.18,19.00,64100,15.880098
2012-09-04,17.60,19.01,17.27,18.42,43300,15.395337
2012-08-01,17.280001,18.17,17.00,17.50,53900,14.626406
2012-07-02,17.67,17.98,16.65,17.24,38200,14.4091
2012-06-01,16.469999,17.90,16.280001,17.690001,44700,14.785208
2012-05-01,19.10,19.450001,16.43,16.860001,45200,14.091498
2012-04-02,19.459999,19.959999,18.879999,19.16,53900,16.013824
2012-03-01,20.870001,21.309999,19.209999,19.559999,68900,16.348143
2012-02-01,20.09,21.559999,20.09,20.92,46000,17.484823
2012-01-03,18.10,20.120001,18.10,19.90,43600,16.632313
2011-12-01,18.610001,19.50,17.16,17.860001,86000,14.927293
2011-11-01,18.440001,19.60,17.01,18.700001,72100,15.394664
2011-10-03,16.709999,19.690001,15.32,19.139999,88900,15.75689
2011-09-01,20.57,20.709999,16.67,16.809999,85800,13.838732
2011-08-01,23.290001,23.34,18.50,20.57,110900,16.93413
2011-07-01,22.84,23.57,22.26,22.950001,59000,18.893452
2011-06-01,22.66,22.83,21.15,22.790001,50700,18.761732
2011-05-02,24.16,24.299999,21.860001,22.879999,44100,18.835823
2011-04-01,23.540001,24.559999,23.209999,24.15,49500,19.881344
2011-03-01,22.040001,23.459999,21.360001,23.43,43200,19.288609
2011-02-01,22.629999,23.10,21.450001,21.889999,68000,18.020811
2011-01-03,23.75,24.33,21.870001,22.50,86600,18.522991
2010-12-01,22.459999,23.709999,21.52,23.57,64200,19.403862
2010-11-01,23.50,24.690001,21.57,21.93,99300,17.936069
2010-10-01,22.129999,23.450001,22.040001,23.10,120300,18.892986
2010-09-01,18.92,21.99,18.92,21.93,76000,17.936069
2010-08-02,19.24,19.75,18.360001,18.77,57300,15.351574
2010-07-01,17.09,19.299999,16.719999,19.08,53600,15.605116
2010-06-01,17.02,18.74,16.459999,17.129999,101600,14.010253
2010-05-03,19.709999,19.940001,15.29,17.030001,151300,13.928466
2010-04-01,19.950001,20.99,19.43,19.690001,55500,16.104021
2010-03-01,18.17,20.00,17.82,19.77,57800,16.169453
2010-02-01,17.440001,18.780001,16.27,17.98,102900,14.705449
2010-01-04,19.85,22.469999,17.719999,17.82,148500,14.574589
2009-12-01,19.129999,20.370001,18.709999,19.65,77700,16.071306
2009-11-02,17.02,20.10,16.90,18.83,80800,15.285632
2009-10-01,17.059999,19.18,15.71,17.00,94400,13.800093
2009-09-01,15.02,17.08,14.50,17.049999,80400,13.84068
2009-08-03,16.75,17.690001,14.17,15.02,125700,12.192788
2009-07-01,14.36,16.51,12.62,16.370001,91500,13.288678
2009-06-01,15.01,16.77,12.71,14.21,146500,11.535254
2009-05-01,11.36,14.59,11.24,14.59,125300,11.843726
2009-04-01,9.69,11.45,9.45,11.19,107900,9.083708
2009-03-02,7.51,9.91,7.35,9.65,149900,7.833581
2009-02-02,8.46,9.52,7.72,7.76,138900,6.299336
2009-01-02,9.21,10.57,8.26,8.56,120100,6.948753
2008-12-01,9.40,10.37,8.33,9.10,151900,7.387109
2008-11-03,11.00,11.99,7.75,9.29,156100,6.452374
2008-10-01,15.22,15.57,8.90,10.73,207000,7.452527
2008-09-02,17.700001,17.700001,13.98,15.20,95500,10.557168
2008-08-01,19.040001,19.209999,17.27,17.65,49800,12.258817
2008-07-01,19.52,19.52,18.219999,19.02,61900,13.210351
2008-06-02,23.290001,23.290001,19.67,19.85,58100,13.786828
2008-05-01,21.75,23.43,21.719999,23.17,54300,16.092735
2008-04-01,19.889999,21.940001,19.889999,21.709999,54900,15.078691
2008-03-03,21.32,21.75,18.66,19.709999,81500,13.68959
2008-02-01,20.200001,22.75,20.09,21.49,86100,14.92589
2008-01-02,23.309999,23.370001,17.700001,19.959999,130000,13.863228
2007-12-03,22.75,24.18,21.209999,23.200001,57800,16.113573
2007-11-01,24.639999,25.040001,21.219999,22.709999,110900,15.682228
2007-10-01,23.809999,27.40,23.67,25.25,119800,17.436207
2007-09-04,20.51,23.90,19.99,23.790001,80400,15.174251
2007-08-01,20.35,20.879999,16.24,20.559999,122000,13.114021
2007-07-02,19.549999,22.549999,19.549999,20.690001,101400,13.196941
2007-06-01,18.66,19.629999,18.32,19.43,75200,12.393261
2007-05-01,17.860001,18.84,17.50,18.540001,97400,11.825583
2007-04-02,16.940001,18.16,16.91,17.639999,74900,11.251524
2007-03-01,16.50,17.02,15.25,16.879999,87300,10.766765
2007-02-01,17.299999,17.799999,15.78,16.530001,82600,10.543521
2007-01-03,18.209999,18.549999,16.40,17.209999,124000,10.977252
2006-12-01,18.879999,19.67,17.93,18.32,75800,11.685257
2006-11-01,18.50,19.360001,17.50,18.75,100000,11.959529
2006-10-02,19.129999,22.00,18.700001,21.82,100400,11.694824
2006-09-01,19.00,19.48,18.02,19.110001,49600,10.242352
2006-08-01,18.57,19.709999,18.299999,18.940001,37800,10.151237
2006-07-03,18.41,19.00,17.00,18.67,64100,10.006525
2006-06-01,19.120001,19.950001,15.91,18.17,126000,9.738541
2006-05-01,21.530001,22.549999,18.280001,19.02,73600,10.194114
2006-04-03,20.299999,21.700001,20.24,21.60,37200,11.576912
2006-03-01,21.290001,21.450001,19.110001,20.049999,64600,10.746161
2006-02-01,22.40,23.00,21.02,21.24,39500,11.383963
2006-01-03,20.25,24.299999,20.15,22.15,119500,11.871694
2005-12-01,17.959999,20.00,17.959999,19.450001,30600,10.424581
2005-11-01,18.370001,19.200001,16.870001,17.959999,57100,9.515574
2005-10-03,19.82,19.82,17.26,18.370001,41500,9.011756
2005-09-01,18.23,19.98,18.16,19.82,31900,9.723081
2005-08-01,18.84,20.030001,17.870001,18.24,44000,8.947982
2005-07-01,17.459999,19.35,17.42,19.09,37400,9.364965
2005-06-01,16.209999,17.77,16.209999,17.450001,44800,8.560432
2005-05-02,15.15,16.33,15.13,16.200001,45200,7.947221
2005-04-01,16.85,17.09,14.39,15.13,63600,7.422312
2005-03-01,18.530001,18.950001,15.60,16.76,77800,8.221939
2005-02-01,16.01,18.969999,15.94,18.809999,106300,9.227606
2005-01-03,16.51,17.35,15.50,16.00,62900,7.849107
2004-12-01,15.72,16.549999,15.20,16.50,33700,8.094392
2004-11-01,14.39,17.25,14.14,15.84,49600,7.741607
2004-10-01,14.48,15.11,13.80,14.29,34300,6.894087
2004-09-01,14.25,14.48,13.70,14.48,32200,6.985751
2004-08-02,12.20,14.65,12.02,14.24,42100,6.869965
2004-07-01,12.40,12.74,12.02,12.30,24900,5.934029
2004-06-01,12.09,12.75,11.85,12.46,34500,6.01122
2004-05-03,11.27,12.27,9.00,12.14,79000,5.856838
2004-04-01,14.35,14.98,11.43,11.63,71200,5.610793
2004-03-01,14.50,14.94,13.00,14.25,49400,6.874789
2004-02-02,13.49,15.58,12.91,14.50,74100,6.9954
2004-01-02,14.52,16.049999,12.53,13.49,102800,6.508134
2003-12-01,12.78,14.90,12.77,14.42,42100,6.956805
2003-11-03,12.54,13.25,12.05,12.78,40100,6.156793
2003-10-01,11.23,13.29,11.23,12.52,46700,5.932415
2003-09-02,11.84,12.48,10.97,11.13,45800,5.268268
2003-08-01,11.02,11.98,10.75,11.84,51200,5.604339
2003-07-01,9.99,11.30,9.90,10.99,51800,5.202
2003-06-02,10.40,11.00,9.91,9.99,41400,4.728661
