Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,19.209999,19.309999,19.09,19.129999,1701400,17.574535
2013-03-01,18.709999,19.74,18.450001,19.24,1351100,17.675591
2013-02-01,19.750006,19.970003,18.509998,18.59,595500,17.078444
2013-01-02,18.499998,19.889999,18.250002,19.650003,590100,17.873524
2012-12-03,16.950003,18.460001,16.809996,18.219995,570400,16.459784
2012-11-01,17.050001,17.589998,16.230001,16.950003,611900,15.312482
2012-10-01,16.440001,17.450001,16.16,16.940002,473300,15.303448
2012-09-04,16.399996,16.870001,15.999996,16.389997,472200,14.806579
2012-08-01,16.650002,18.160002,16.289997,16.469999,593200,14.878852
2012-07-02,18.740005,19.980003,15.499995,16.550001,729000,14.951125
2012-06-01,17.020004,18.709997,16.999996,18.699999,492900,16.893414
2012-05-01,20.339996,20.760004,17.199997,17.199997,583900,15.538324
2012-04-02,20.139996,20.839996,19.529997,20.270002,555900,17.886803
2012-03-01,20.339996,20.870003,19.360003,20.190002,590800,17.816208
2012-02-01,18.299999,20.449995,18.229994,20.209997,824000,17.833855
2012-01-03,17.819996,18.350002,17.419996,18.309998,630400,16.15724
2011-12-01,17.789997,18.280001,16.750002,17.630005,418800,15.434449
2011-11-01,19.199999,20.219997,16.579998,17.77,589700,15.557012
2011-10-03,16.889997,20.319998,15.810004,19.629997,671500,17.185373
2011-09-01,20.070004,20.429996,16.469999,16.909996,740100,14.804108
2011-08-01,21.990002,22.159996,18.18,20.119997,723900,17.614351
2011-07-01,23.139999,23.479996,21.719999,21.790003,468500,19.076382
2011-06-01,21.770004,23.310001,21.419998,23.100002,495200,20.223242
2011-05-02,21.439997,22.170006,20.560003,21.700001,498600,18.997589
2011-04-01,20.780003,21.680002,20.319998,21.359995,426800,18.152845
2011-03-01,20.249994,20.980001,18.870003,20.819998,714300,17.693928
2011-02-01,20.990002,21.209999,19.019997,20.309998,866800,17.260504
2011-01-03,22.990004,23.400003,20.539995,20.760004,777300,17.642942
2010-12-01,24.079994,24.359999,22.449997,23.220001,373000,19.581921
2010-11-01,22.949999,25.420002,22.810001,23.790005,493700,20.062616
2010-10-01,23.730001,24.249998,22.490004,22.810001,368400,19.236158
2010-09-01,22.369995,24.159998,22.259996,23.510002,475500,19.826483
2010-08-02,21.060005,22.080004,20.609999,22.000002,436800,18.553068
2010-07-01,20.009998,21.800001,19.619997,20.739998,420500,17.49048
2010-06-01,18.850004,20.980001,18.650003,19.909998,573500,16.790524
2010-05-03,19.880001,20.099998,17.499998,18.850004,760900,15.896608
2010-04-01,20.129997,20.949997,19.339994,19.889999,758500,16.773659
2010-03-01,21.419998,21.949997,19.329996,19.99,822600,16.477579
2010-02-01,22.990004,23.249998,20.660004,21.610001,919200,17.812929
2010-01-04,22.990004,23.879995,22.249996,22.959997,1221900,18.92572
2009-12-01,19.339994,22.990004,18.699999,22.859995,963200,18.84329
2009-11-02,18.160002,19.639996,17.179998,19.190001,595400,15.626812
2009-10-01,18.130005,19.070002,17.509996,17.679998,722500,14.397187
2009-09-01,17.309998,18.840004,16.909996,18.450003,928300,15.024218
2009-08-03,19.50,19.599998,17.26,17.309998,593300,14.095887
2009-07-01,18.309998,20.160004,17.050001,19.190001,516500,15.626812
2009-06-01,17.120005,18.509998,16.66,18.470001,563500,15.040503
2009-05-01,15.15,17.109995,14.900004,17.109995,616800,13.933022
2009-04-01,15.049999,15.799995,13.679996,14.989996,737300,11.897342
2009-03-02,14.200004,16.169998,13.500003,15.100004,744400,11.984654
2009-02-02,14.349999,15.610004,14.139999,14.420002,649200,11.444946
2009-01-02,12.769996,15.169998,12.759996,14.349999,724700,11.389386
2008-12-01,12.259995,14.030002,12.02,12.739999,614800,10.111552
2008-11-03,14.000004,15.130002,11.910001,13.059997,963800,10.267698
2008-10-01,14.510003,16.920004,10.119998,14.400004,1299600,11.321204
2008-09-02,17.250002,17.999996,14.569998,16.320005,927600,12.830698
2008-08-01,17.679998,18.499998,16.559999,17.140003,578000,13.475377
2008-07-01,15.399996,18.599998,14.149999,17.819996,667600,14.009983
2008-06-02,18.929996,19.109997,14.000004,15.579997,580400,12.248909
2008-05-01,18.909998,19.829996,17.499998,19.009996,666200,14.945556
2008-04-01,17.989998,20.619999,17.740004,18.879999,709100,14.843352
2008-03-03,15.869998,19.199999,15.100004,17.679998,848400,13.626521
2008-02-01,14.200004,16.499996,13.320001,15.769999,721000,12.154426
2008-01-02,15.830003,15.989997,11.149996,14.220002,1019800,10.959795
2007-12-03,17.399998,18.629995,15.840002,16.030003,569800,12.354818
2007-11-01,19.729998,19.729998,15.999996,17.469999,682100,13.420776
2007-10-01,17.630005,20.190002,17.630005,19.819998,391000,15.226089
2007-09-04,18.109997,18.789999,16.98,17.740004,284800,13.628199
2007-08-01,17.650003,18.370001,15.010004,17.98,622700,13.812567
2007-07-02,20.200001,20.460003,16.950003,17.719995,597800,13.612828
2007-06-01,18.450003,20.390001,17.940004,20.050005,402300,15.402784
2007-05-01,18.909998,19.650003,17.650003,18.380001,535600,14.119856
2007-04-02,16.289997,21.249996,16.189997,18.940004,381000,14.198746
