Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,11.69,11.72,11.60,11.66,305600,9.768933
2013-03-01,11.29,11.73,11.27,11.68,167400,9.78569
2013-02-01,11.29,11.48,11.15,11.37,185900,9.455465
2013-01-02,10.87,11.33,10.82,11.27,149300,9.301662
2012-12-03,10.78,10.88,10.46,10.66,156500,8.730944
2012-11-01,10.91,11.03,10.04,10.77,148700,8.750731
2012-10-01,11.13,11.33,10.71,10.87,119100,8.760325
2012-09-04,10.87,11.28,10.80,11.08,145200,8.860197
2012-08-01,10.69,11.05,10.52,10.90,121200,8.649449
2012-07-02,10.58,10.78,10.36,10.67,109500,8.400743
2012-06-01,10.27,10.67,10.06,10.60,133300,8.278927
2012-05-01,10.97,11.09,10.23,10.41,158200,8.064629
2012-04-02,11.03,11.16,10.74,10.98,124500,8.436003
2012-03-01,11.12,11.29,10.86,11.06,186000,8.430972
2012-02-01,10.80,11.19,10.79,11.11,175200,8.40394
2012-01-03,10.29,10.84,10.23,10.77,192300,8.07911
2011-12-01,10.11,10.42,9.88,10.18,221500,7.569991
2011-11-01,10.01,10.48,9.68,10.15,179500,7.478726
2011-10-03,9.72,10.60,9.10,10.39,163000,7.586104
2011-09-01,10.76,10.89,9.75,9.78,155000,7.076126
2011-08-01,11.59,11.63,9.49,10.80,228700,7.746113
2011-07-01,11.94,12.29,11.27,11.42,194900,8.115817
2011-06-01,12.14,12.17,11.50,12.00,165500,8.463001
2011-05-02,12.32,12.35,11.91,12.18,131200,8.522112
2011-04-01,12.32,12.41,11.94,12.29,155700,8.534285
2011-03-01,12.40,12.47,11.82,12.34,145800,8.503635
2011-02-01,12.41,12.65,12.19,12.41,143600,8.487172
2011-01-03,12.66,12.78,12.30,12.39,135300,8.411625
2010-12-01,13.15,13.28,12.19,12.64,178200,8.518594
2010-11-01,13.18,13.49,12.98,13.06,133800,8.736816
2010-10-01,13.05,13.30,12.84,13.16,153600,8.726929
2010-09-01,12.40,13.12,12.39,12.99,146000,8.538207
2010-08-02,13.16,13.30,12.12,12.31,125300,8.019656
2010-07-01,12.65,13.30,12.37,13.10,102600,8.457697
2010-06-01,12.60,13.53,12.32,12.68,105800,8.114153
2010-05-03,14.16,14.28,9.76,12.76,160500,8.094398
2010-04-01,14.23,14.47,13.94,14.10,99200,8.867466
2010-03-01,13.57,14.25,13.54,14.06,109300,8.771031
2010-02-01,12.59,13.55,12.24,13.53,147400,8.371159
2010-01-04,14.23,14.78,12.55,12.56,211900,7.702302
2009-12-01,14.14,14.57,13.58,14.19,116000,8.630548
2009-11-02,13.15,14.15,13.10,14.08,117100,8.482283
2009-10-01,13.64,14.09,12.63,13.10,139100,7.814393
2009-09-01,13.32,14.95,12.93,13.68,149400,8.080575
2009-08-03,13.37,13.79,12.92,13.30,121000,7.783929
2009-07-01,12.30,13.29,11.47,13.21,106700,7.650771
